_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
blik.foc10.all.no_ppmi.bound.min1.soc4.all.foc	0.34325603463101284	0.24272019163519712	1101	1	all	bound	no_ppmi	10_10	foc	1101	all	4_4	280	blik	0.2181799696146301
blik.foc10.all.no_ppmi.bound.min1.soc10.all.5000	0.2718403830725782	0.30614487113796107	1101	1	all	bound	no_ppmi	10_10	5000	5e3	all	10_10	280	blik	0.22773824040044624
blik.foc10.all.no_ppmi.bound.min1.soc10.all.10000	0.2704187411021423	0.2777210880655944	1101	1	all	bound	no_ppmi	10_10	10000	1e4	all	10_10	280	blik	0.22513336126501615
blik.foc10.all.no_ppmi.bound.min1.soc10.all.foc	0.24378218771535218	0.24484902820169946	1101	1	all	bound	no_ppmi	10_10	foc	1101	all	10_10	280	blik	0.22235459413012693
blik.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.23446199166816498	-0.18172614415338978	395	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	4_4	261	blik	0.2690536907121536
blik.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.2219457190319359	-0.2040784241965601	395	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	4_4	261	blik	0.2617067784032847
blik.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.21224332054716982	-0.20643380847549062	395	1	nav	bound	ppmi_weight	5_5	foc	395	nav	4_4	261	blik	0.2957458477220392
blik.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.25652636947878793	-0.13643783976388457	395	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	10_10	261	blik	0.26109942913542467
blik.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.22331866053138227	-0.16044829432387273	395	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	10_10	261	blik	0.2569608563188045
blik.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.2388110174489932	-0.17034460219049005	395	1	nav	bound	ppmi_weight	5_5	foc	395	nav	10_10	261	blik	0.2805651803575457
