_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.04740260599861692	-0.08142834087630325	NA	NA	bound	202	lex	3_3	1	selection	FOC	136	nav	4_4	204	heffen	0.18812520385789025	BOW
heffen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.03554525111016531	-0.08045517635532395	NA	NA	bound	202	lex	3_3	1	selection	FOC	202	all	4_4	204	heffen	0.19228387695821167	BOW
heffen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.04116165602279841	-0.19107594423218002	NA	NA	bound	280	lex	3_3	1	no	5000	5000	nav	4_4	213	heffen	0.20013039320576761	BOW
heffen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.2513035477801967	-0.3045875181377202	NA	NA	bound	280	lex	3_3	1	no	5000	5000	all	4_4	213	heffen	0.23737829579715045	BOW
heffen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.053101025847541915	-0.11118949744947189	NA	NA	bound	280	lex	3_3	1	no	FOC	195	nav	4_4	213	heffen	0.20624729741084727	BOW
heffen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.04062115861762016	-0.10961847055752705	NA	NA	bound	280	lex	3_3	1	no	FOC	280	all	4_4	213	heffen	0.2048654546784451	BOW
heffen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.0672258443072662	-0.18034815952132544	NA	NA	bound	261	all	3_3	1	weight	5000	5000	nav	4_4	216	heffen	0.1852560252750939	BOW
heffen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.18757433809559004	-0.24935903652072183	NA	NA	bound	261	all	3_3	1	weight	5000	5000	all	4_4	216	heffen	0.22138688001100554	BOW
heffen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.07977350893777234	-0.10543127071529944	NA	NA	bound	261	all	3_3	1	weight	FOC	136	nav	4_4	216	heffen	0.18144756449120725	BOW
heffen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.06884594895149497	-0.10978742948182937	NA	NA	bound	261	all	3_3	1	weight	FOC	261	all	4_4	216	heffen	0.19085173665775287	BOW
