_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_foc_pos	foc_boundaries	foc_ppmi	foc_foc_win	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
horde.foc5.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.19204399915960843	-0.1902456891945818	472	1	all	bound	weight	5_5	FOC	472	nav	4_4	279	horde	0.2323791222404684
horde.foc5.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.2077334116998297	-0.1501042032081388	472	1	all	bound	weight	5_5	5000	5000	nav	10_10	279	horde	0.2106704955213541
horde.foc5.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.21947658212332286	-0.17039757309455328	472	1	all	bound	weight	5_5	10000	10000	nav	10_10	279	horde	0.21362998902106356
horde.foc5.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.17984213699773777	-0.17831406931029276	472	1	all	bound	weight	5_5	FOC	472	nav	10_10	279	horde	0.22277263943368492
horde.foc5.all.ppmi_weight.bound.min1.soc4.all.5000	-0.19990462700631378	-0.16516082184442796	472	1	all	bound	weight	5_5	5000	5000	all	4_4	279	horde	0.21627117300976392
horde.foc5.all.ppmi_weight.bound.min1.soc4.all.10000	-0.21555064062814883	-0.1877750891277107	472	1	all	bound	weight	5_5	10000	10000	all	4_4	279	horde	0.22233642340894164
horde.foc5.all.ppmi_weight.bound.min1.soc4.all.foc	-0.1920439991596074	-0.1902456891945824	472	1	all	bound	weight	5_5	FOC	472	all	4_4	279	horde	0.2323791222404684
horde.foc5.all.ppmi_weight.bound.min1.soc10.all.5000	-0.19952901275904675	-0.1404879554367294	472	1	all	bound	weight	5_5	5000	5000	all	10_10	279	horde	0.21184807227227478
horde.foc5.all.ppmi_weight.bound.min1.soc10.all.10000	-0.20765435064963833	-0.15602802860299927	472	1	all	bound	weight	5_5	10000	10000	all	10_10	279	horde	0.20939311926444407
horde.foc5.all.ppmi_weight.bound.min1.soc10.all.foc	-0.17984213699774004	-0.17831406931029153	472	1	all	bound	weight	5_5	FOC	472	all	10_10	279	horde	0.22277263943368492
