_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
harden.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.16498080932938033	0.04768058533693774	NA	NA	BOW	bound	232	all	3_3	1	weight	FOC	116	nav	4_4	279	harden	0.20822410188192053
harden.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.14686190146040193	0.034304271400862785	NA	NA	BOW	bound	232	all	3_3	1	weight	FOC	232	all	4_4	279	harden	0.19321710182495033
harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.15346971764688613	0.030979571047759454	NA	NA	BOW	bound	232	all	3_3	1	selection	5000	5000	nav	4_4	279	harden	0.17916282405794706
harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.0493545816756567	0.2348166736541347	NA	NA	BOW	bound	232	all	3_3	1	selection	5000	5000	all	4_4	279	harden	0.24404707243359078
harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.14957022625416927	0.02439001233896885	NA	NA	BOW	bound	232	all	3_3	1	selection	FOC	116	nav	4_4	279	harden	0.19287570938989937
harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.1476830541025481	0.019997801774917275	NA	NA	BOW	bound	232	all	3_3	1	selection	FOC	232	all	4_4	279	harden	0.17710277071610264
harden.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.15384152290107622	0.05108453696637028	NA	NA	BOW	bound	295	all	3_3	1	no	5000	5000	nav	4_4	279	harden	0.19674221432438416
harden.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.01121793945077736	0.3021985507865345	NA	NA	BOW	bound	295	all	3_3	1	no	5000	5000	all	4_4	279	harden	0.24494059074214414
harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.14441871035295994	0.031471170076855674	NA	NA	BOW	bound	295	all	3_3	1	no	FOC	139	nav	4_4	279	harden	0.19351108610685389
harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.1464667978335127	0.02728521764106572	NA	NA	BOW	bound	295	all	3_3	1	no	FOC	295	all	4_4	279	harden	0.17537122953820847
harden.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14237008828340872	-0.06888798366539613	NA	NA	BOW	nobound	431	lex	10_10	1	weight	5000	5000	nav	4_4	279	harden	0.22762384191582058
harden.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.24804250501331968	-0.030273446501229134	NA	NA	BOW	nobound	431	lex	10_10	1	weight	5000	5000	all	4_4	279	harden	0.27726240327993634
harden.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16772860786581145	-0.14331174768752444	NA	NA	BOW	nobound	431	lex	10_10	1	weight	FOC	295	nav	4_4	279	harden	0.2159756396803441
harden.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.13355237036648862	-0.11319115940470785	NA	NA	BOW	nobound	431	lex	10_10	1	weight	FOC	431	all	4_4	279	harden	0.22624887432002097
harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.09583082611970367	0.018930953916306257	NA	NA	BOW	nobound	431	lex	10_10	1	selection	5000	5000	nav	4_4	279	harden	0.23878786383045594
harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.30476406934934874	0.0726312157075732	NA	NA	BOW	nobound	431	lex	10_10	1	selection	5000	5000	all	4_4	279	harden	0.27816083973384564
