_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
geestig.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.24784955934759673	0.07277996701672186	bound	nav	5_5	selection	448	1	5000	5000	nav	10_10	266	geestig	0.24434820841379368
geestig.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.223834229761778	0.10469958203302844	bound	nav	5_5	selection	448	1	10000	10000	nav	10_10	266	geestig	0.24177269565104206
geestig.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.23236515302674626	0.12331900365031802	bound	nav	5_5	selection	448	1	FOC	448	nav	10_10	266	geestig	0.22945121175339786
geestig.foc5.nav.selection.bound.min1.soc4.all.5000	-0.3034674421557154	0.09493030839134897	bound	nav	5_5	selection	448	1	5000	5000	all	4_4	266	geestig	0.24705198039082268
geestig.foc5.nav.selection.bound.min1.soc4.all.10000	-0.2731477980757192	0.12051033136373873	bound	nav	5_5	selection	448	1	10000	10000	all	4_4	266	geestig	0.24479879488339062
geestig.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.2670205833645726	0.16132157737261876	bound	nav	5_5	selection	448	1	FOC	448	all	4_4	266	geestig	0.24158830848903465
geestig.foc5.nav.selection.bound.min1.soc10.all.5000	-0.26886185881534375	0.06633919726864469	bound	nav	5_5	selection	448	1	5000	5000	all	10_10	266	geestig	0.24314573835476339
geestig.foc5.nav.selection.bound.min1.soc10.all.10000	-0.22603252870895055	0.08834948050247546	bound	nav	5_5	selection	448	1	10000	10000	all	10_10	266	geestig	0.24350132708412145
geestig.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.23236514538454792	0.12331902986330598	bound	nav	5_5	selection	448	1	FOC	448	all	10_10	266	geestig	0.22945121175339786
geestig.foc5.nav.no.bound.min1.soc4.nav.5000	-0.2732494479778689	0.09760758989538088	bound	nav	5_5	no	448	1	5000	5000	nav	4_4	266	geestig	0.2483675689388896
geestig.foc5.nav.no.bound.min1.soc4.nav.10000	-0.28775954127812503	0.13684817790516549	bound	nav	5_5	no	448	1	10000	10000	nav	4_4	266	geestig	0.24262471997749402
geestig.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.2670206357529484	0.16132161538642592	bound	nav	5_5	no	448	1	FOC	448	nav	4_4	266	geestig	0.24158830848903465
geestig.foc5.nav.no.bound.min1.soc10.nav.5000	-0.24784955982346102	0.07277996806421307	bound	nav	5_5	no	448	1	5000	5000	nav	10_10	266	geestig	0.24434820841379368
geestig.foc5.nav.no.bound.min1.soc10.nav.10000	-0.22383422838435182	0.10469958172756916	bound	nav	5_5	no	448	1	10000	10000	nav	10_10	266	geestig	0.24177269565104206
geestig.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.23236514879632017	0.12331901919233489	bound	nav	5_5	no	448	1	FOC	448	nav	10_10	266	geestig	0.22945121175339786
geestig.foc5.nav.no.bound.min1.soc4.all.5000	-0.3034675895995335	0.09493029802036931	bound	nav	5_5	no	448	1	5000	5000	all	4_4	266	geestig	0.24705198039082268
