_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herhalen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	-0.3221905083314076	0.18701360485323465	NA	NA	bound	536	all	3_3	1	no	5000	5000	all	4_4	312	herhalen	0.272819410882598	BOW
herhalen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.2278378647659728	-0.011858957321134267	NA	NA	bound	536	all	3_3	1	no	FOC	228	nav	4_4	312	herhalen	0.25492521114552813	BOW
herhalen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.2360994584173502	-0.027412031208177545	NA	NA	bound	536	all	3_3	1	no	FOC	536	all	4_4	312	herhalen	0.23476818135978322	BOW
herhalen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.06711381872247137	-0.18727161333356346	NA	NA	nobound	524	lex	10_10	1	weight	5000	5000	nav	4_4	308	herhalen	0.26924998394243027	BOW
herhalen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2303498919899979	-0.12995463720807096	NA	NA	nobound	524	lex	10_10	1	weight	5000	5000	all	4_4	308	herhalen	0.2778651006797994	BOW
herhalen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.05771353281975266	-0.20431536701353673	NA	NA	nobound	524	lex	10_10	1	weight	FOC	338	nav	4_4	308	herhalen	0.2752178824275432	BOW
herhalen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.03948918617444785	-0.1760580078478296	NA	NA	nobound	524	lex	10_10	1	weight	FOC	524	all	4_4	308	herhalen	0.27826009725225104	BOW
herhalen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.006973524717675806	-0.20576597200110855	NA	NA	nobound	524	lex	10_10	1	selection	5000	5000	nav	4_4	308	herhalen	0.2635626530998957	BOW
herhalen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.29600297186551083	-0.23109987896236242	NA	NA	nobound	524	lex	10_10	1	selection	5000	5000	all	4_4	308	herhalen	0.2767372104308938	BOW
herhalen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.02684985644273419	-0.2522026714284248	NA	NA	nobound	524	lex	10_10	1	selection	FOC	338	nav	4_4	308	herhalen	0.2664767921429923	BOW
herhalen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.02386960643520382	-0.226495254027709	NA	NA	nobound	524	lex	10_10	1	selection	FOC	524	all	4_4	308	herhalen	0.2657207356450611	BOW
herhalen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.12544329042697436	-0.28881587873184744	NA	NA	nobound	1310	lex	10_10	1	no	5000	5000	nav	4_4	312	herhalen	0.2614154344693236	BOW
herhalen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.42656202306042695	-0.42454433930816765	NA	NA	nobound	1310	lex	10_10	1	no	5000	5000	all	4_4	312	herhalen	0.2562756619060764	BOW
herhalen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.15732010988480888	-0.28853802705342796	NA	NA	nobound	1310	lex	10_10	1	no	FOC	976	nav	4_4	312	herhalen	0.2632606000705544	BOW
herhalen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.16291649862640553	-0.27939590760125815	NA	NA	nobound	1310	lex	10_10	1	no	FOC	1310	all	4_4	312	herhalen	0.257259141325845	BOW
herhalen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.004444579932143246	0.07603463389679613	NA	NA	nobound	778	all	10_10	1	weight	5000	5000	nav	4_4	312	herhalen	0.26264812107662905	BOW
herhalen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.2590401352385878	0.047434118418881344	NA	NA	nobound	778	all	10_10	1	weight	5000	5000	all	4_4	312	herhalen	0.2762442940137441	BOW
herhalen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.045769314696892875	0.02012018347277325	NA	NA	nobound	778	all	10_10	1	weight	FOC	338	nav	4_4	312	herhalen	0.26283687048233023	BOW
herhalen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.050165121962170406	0.00864488811951439	NA	NA	nobound	778	all	10_10	1	weight	FOC	778	all	4_4	312	herhalen	0.25755159043402814	BOW
herhalen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1486572104029882	-0.033583143158842886	NA	NA	nobound	778	all	10_10	1	selection	5000	5000	nav	4_4	312	herhalen	0.26648145377570004	BOW
herhalen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.42937164461215593	-0.02361758803182213	NA	NA	nobound	778	all	10_10	1	selection	5000	5000	all	4_4	312	herhalen	0.2783471269044232	BOW
herhalen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.18811569001725	-0.1002933733643117	NA	NA	nobound	778	all	10_10	1	selection	FOC	338	nav	4_4	312	herhalen	0.2511213088060553	BOW
herhalen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.17521234648374168	-0.09362628323736903	NA	NA	nobound	778	all	10_10	1	selection	FOC	778	all	4_4	312	herhalen	0.2467920328118013	BOW
herhalen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.26852770696227934	-0.14043155183181388	NA	NA	nobound	1828	all	10_10	1	no	5000	5000	nav	4_4	312	herhalen	0.2547376248562687	BOW
herhalen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.6040551377581762	-0.23607441700854861	NA	NA	nobound	1828	all	10_10	1	no	5000	5000	all	4_4	312	herhalen	0.25171173261565644	BOW
herhalen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.2747131903852982	-0.15999548951716286	NA	NA	nobound	1828	all	10_10	1	no	FOC	976	nav	4_4	312	herhalen	0.2459043052703178	BOW
herhalen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	0.2786486359760152	-0.17591340215417253	NA	NA	nobound	1828	all	10_10	1	no	FOC	1828	all	4_4	312	herhalen	0.23324061711592647	BOW
herhalen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.06646718925810521	-0.13793621288364494	NA	NA	nobound	359	lex	5_5	1	weight	5000	5000	nav	4_4	297	herhalen	0.26490640201894466	BOW
herhalen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.19367890041033364	-0.07423998995683566	NA	NA	nobound	359	lex	5_5	1	weight	5000	5000	all	4_4	297	herhalen	0.27681026717999757	BOW
herhalen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.036950156180193226	-0.12518106489287753	NA	NA	nobound	359	lex	5_5	1	weight	FOC	230	nav	4_4	297	herhalen	0.29777610427923185	BOW
