model	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens
nocomp.5_5_nvj_bound.noweight.1.s.5k_all.10_10	nocomp	5	5	nvj	bound	noweight	1	s	5k	10	10	0.191842845878406	246
nocomp.5_5_nvj_bound.noweight.1.s.5k_all.5_5	nocomp	5	5	nvj	bound	noweight	1	s	5k	5	5	0.197769222940849	246
nocomp.5_5_nvj_bound.noweight.2.c.10k_all.10_10	nocomp	5	5	nvj	bound	noweight	2	c	10k	10	10	0.172963423803789	229
nocomp.5_5_nvj_bound.noweight.2.c.10k_all.5_5	nocomp	5	5	nvj	bound	noweight	2	c	10k	5	5	0.185224770272261	229
nocomp.5_5_nvj_bound.noweight.2.c.5k_all.10_10	nocomp	5	5	nvj	bound	noweight	2	c	5k	10	10	0.164931026032218	229
nocomp.5_5_nvj_bound.noweight.2.c.5k_all.5_5	nocomp	5	5	nvj	bound	noweight	2	c	5k	5	5	0.179929201597678	229
nocomp.5_5_nvj_bound.noweight.2.s.10k_all.10_10	nocomp	5	5	nvj	bound	noweight	2	s	10k	10	10	0.192325200639388	229
nocomp.5_5_nvj_bound.noweight.2.s.10k_all.5_5	nocomp	5	5	nvj	bound	noweight	2	s	10k	5	5	0.194386013229732	229
nocomp.5_5_nvj_bound.noweight.2.s.5k_all.10_10	nocomp	5	5	nvj	bound	noweight	2	s	5k	10	10	0.191152559692863	229
nocomp.5_5_nvj_bound.noweight.2.s.5k_all.5_5	nocomp	5	5	nvj	bound	noweight	2	s	5k	5	5	0.197524814999222	229
nocomp.5_5_nvj_nobound.noweight.1.c.10k_all.10_10	nocomp	5	5	nvj	nobound	noweight	1	c	10k	10	10	0.169900725237747	246
nocomp.5_5_nvj_nobound.noweight.1.c.10k_all.5_5	nocomp	5	5	nvj	nobound	noweight	1	c	10k	5	5	0.182395540834388	246
nocomp.5_5_nvj_nobound.noweight.1.c.5k_all.10_10	nocomp	5	5	nvj	nobound	noweight	1	c	5k	10	10	0.163500928949566	246
nocomp.5_5_nvj_nobound.noweight.1.c.5k_all.5_5	nocomp	5	5	nvj	nobound	noweight	1	c	5k	5	5	0.17840503376926	246
nocomp.5_5_nvj_nobound.noweight.1.s.10k_all.10_10	nocomp	5	5	nvj	nobound	noweight	1	s	10k	10	10	0.191461082162167	246
nocomp.5_5_nvj_nobound.noweight.1.s.10k_all.5_5	nocomp	5	5	nvj	nobound	noweight	1	s	10k	5	5	0.193848104638859	246
nocomp.5_5_nvj_nobound.noweight.1.s.5k_all.10_10	nocomp	5	5	nvj	nobound	noweight	1	s	5k	10	10	0.191915512223482	246
nocomp.5_5_nvj_nobound.noweight.1.s.5k_all.5_5	nocomp	5	5	nvj	nobound	noweight	1	s	5k	5	5	0.197677072848396	246
