filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
COHA.ppmi2.ll1.COHA.ppmi2.ll0	church	COHA	2	1	10	10	COHA	2	0	10	10	184	10	10	0.260113774461817
COHA.ppmi2.ll1.COHA.ppmi2.ll1	church	COHA	2	1	10	10	COHA	2	1	10	10	184	10	10	0.259789994475597
COHA.ppmi2.ll1.Semcor.ppmi0.ll0	church	COHA	2	1	10	10	Semcor	0	0	10	10	184	10	10	0.276368710164217
COHA.ppmi2.ll1.Semcor.ppmi0.ll1	church	COHA	2	1	10	10	Semcor	0	1	10	10	184	10	10	0.27114281518053
COHA.ppmi2.ll1.Semcor.ppmi1.ll0	church	COHA	2	1	10	10	Semcor	1	0	10	10	184	10	10	0.2723225094047
COHA.ppmi2.ll1.Semcor.ppmi1.ll1	church	COHA	2	1	10	10	Semcor	1	1	10	10	184	10	10	0.268202099890651
COHA.ppmi2.ll1.Semcor.ppmi2.ll0	church	COHA	2	1	10	10	Semcor	2	0	10	10	184	10	10	0.267762702359363
COHA.ppmi2.ll1.Semcor.ppmi2.ll1	church	COHA	2	1	10	10	Semcor	2	1	10	10	184	10	10	0.267762702359363
COHA.ppmi3.ll0.COHA.ppmi0.ll0	church	COHA	3	0	10	10	COHA	0	0	10	10	129	10	10	0.202794075352992
COHA.ppmi3.ll0.COHA.ppmi0.ll1	church	COHA	3	0	10	10	COHA	0	1	10	10	129	10	10	0.207643780756533
COHA.ppmi3.ll0.COHA.ppmi1.ll0	church	COHA	3	0	10	10	COHA	1	0	10	10	129	10	10	0.209052395463121
COHA.ppmi3.ll0.COHA.ppmi1.ll1	church	COHA	3	0	10	10	COHA	1	1	10	10	129	10	10	0.209320094516608
COHA.ppmi3.ll0.COHA.ppmi2.ll0	church	COHA	3	0	10	10	COHA	2	0	10	10	129	10	10	0.216422255294263
COHA.ppmi3.ll0.COHA.ppmi2.ll1	church	COHA	3	0	10	10	COHA	2	1	10	10	129	10	10	0.218920495019392
