cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
hoekig/adj/nrc_handelsblad_20020812_7/163/R10	hoekig/adj/nrc_handelsblad_20020812_7/163	R10	`	punct	`/punct	`	True	R	11	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R11	hoekig/adj/nrc_handelsblad_20020812_7/163	R11	prog	name	prog/name	prog	True	R	12	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R12	hoekig/adj/nrc_handelsblad_20020812_7/163	R12	rock	name	rock/name	rock	True	R	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R13	hoekig/adj/nrc_handelsblad_20020812_7/163	R13	'	punct	'/punct	'	True	R	14	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R14	hoekig/adj/nrc_handelsblad_20020812_7/163	R14	en	vg	en/vg	en	True	R	15	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R15	hoekig/adj/nrc_handelsblad_20020812_7/163	R15	psychedelische	adj	psychedelische/adj	psychedelische	True	R	16	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L0	hoekig/adj/nrc_handelsblad_19991008_64/156	L0	`	punct	`/punct	`	True	L	1	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L1	hoekig/adj/nrc_handelsblad_19991008_64/156	L1	waar	adv	waar/adv	waar	True	L	2	-0.2888193	363546	13	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L2	hoekig/adj/nrc_handelsblad_19991008_64/156	L2	,	punct	,/punct	,	True	L	3	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L3	hoekig/adj/nrc_handelsblad_19991008_64/156	L3	muziekleven	noun	muziekleven/noun	muziekleven	True	L	4	3.981547	392	1	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L4	hoekig/adj/nrc_handelsblad_19991008_64/156	L4	Nederlands	adj	Nederlands/adj	Nederlands	True	L	5	-0.8128811	241254	5	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L5	hoekig/adj/nrc_handelsblad_19991008_64/156	L5	schep	adj	schep/adj	scheppend	True	L	6	4.065040600000001	359	1	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L6	hoekig/adj/nrc_handelsblad_19991008_64/156	L6	het	det	het/det	het	True	L	7	-0.1670006	11650779	468	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L7	hoekig/adj/nrc_handelsblad_19991008_64/156	L7	binnen	prep	binnen/prep	binnen	True	L	8	-1.095424	125900	2	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L8	hoekig/adj/nrc_handelsblad_19991008_64/156	L8	alleen	adj	alleen/adj	alleen	True	L	9	0.05595239	178364	9	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L9	hoekig/adj/nrc_handelsblad_19991008_64/156	L9	daarin	pp	daarin/pp	daarin	True	L	10	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L10	hoekig/adj/nrc_handelsblad_19991008_64/156	L10	sta	verb	sta/verb	staat	True	L	11	0.2497175	655795	40	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L11	hoekig/adj/nrc_handelsblad_19991008_64/156	L11	hij	pron	hij/pron	Hij	True	L	12	0.10166536	2403923	127	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L12	hoekig/adj/nrc_handelsblad_19991008_64/156	L12	sentence_delimiter	none	none	<sentence>	none	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L13	hoekig/adj/nrc_handelsblad_19991008_64/156	L13	sentence_delimiter	none	none	</sentence>	none	L	14	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L14	hoekig/adj/nrc_handelsblad_19991008_64/156	L14	.	punct	./punct	.	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/L15	hoekig/adj/nrc_handelsblad_19991008_64/156	L15	communicatie	noun	communicatie/noun	communicatie	False	L	16	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R0	hoekig/adj/nrc_handelsblad_19991008_64/156	R0	,	punct	,/punct	,	True	R	1	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R1	hoekig/adj/nrc_handelsblad_19991008_64/156	R1	afstandelijk	adj	afstandelijk/adj	afstandelijke	True	R	2	3.5831037000000006	2331	4	FALSE	FALSE	FALSE	0
