_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.25507692082560685	0.011174144882471938	bound	nav	5_5	weight	577	1	5000	5000	nav	4_4	275	hoekig	0.2501085055127788
hoekig.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.27365606922274943	0.03837072740969039	bound	nav	5_5	weight	577	1	10000	10000	nav	4_4	275	hoekig	0.2499567130469482
hoekig.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.2703164104774464	0.05828646746181822	bound	nav	5_5	weight	577	1	FOC	577	nav	4_4	275	hoekig	0.25236313715793046
hoekig.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.2444717549742066	-0.04018487412783953	bound	nav	5_5	weight	577	1	5000	5000	nav	10_10	275	hoekig	0.24120974884766325
hoekig.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.2563340765906401	0.01897838542957034	bound	nav	5_5	weight	577	1	10000	10000	nav	10_10	275	hoekig	0.2444431101890339
hoekig.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.2558759254242504	0.055381633561649275	bound	nav	5_5	weight	577	1	FOC	577	nav	10_10	275	hoekig	0.2420634632128059
hoekig.foc5.nav.weight.bound.min1.soc4.all.5000	-0.2602097730777169	0.010948333783039157	bound	nav	5_5	weight	577	1	5000	5000	all	4_4	275	hoekig	0.2548114511952142
hoekig.foc5.nav.weight.bound.min1.soc4.all.10000	-0.2720290005066979	0.03101522439186284	bound	nav	5_5	weight	577	1	10000	10000	all	4_4	275	hoekig	0.24990684649668132
hoekig.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.27031641047744637	0.058286467461818266	bound	nav	5_5	weight	577	1	FOC	577	all	4_4	275	hoekig	0.25236313715793046
hoekig.foc5.nav.weight.bound.min1.soc10.all.5000	-0.26091768581902103	-0.07430224568153718	bound	nav	5_5	weight	577	1	5000	5000	all	10_10	275	hoekig	0.2434406721479737
hoekig.foc5.nav.weight.bound.min1.soc10.all.10000	-0.25292392683256704	0.007449397637771147	bound	nav	5_5	weight	577	1	10000	10000	all	10_10	275	hoekig	0.2435962933333062
