_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc5.all.weight.bound.min1.soc10.all.5000	-0.11271550866926455	-0.14333448387927558	bound	566	all	5_5	1	weight	5000	5000	all	10_10	319	grijs	0.2539977347857052
grijs.foc5.all.weight.bound.min1.soc10.all.10000	-0.10389007668832323	-0.16888173881863142	bound	566	all	5_5	1	weight	10000	10000	all	10_10	319	grijs	0.25266078320213076
grijs.foc5.all.weight.bound.min1.soc10.all.FOC	-0.14290585534985195	-0.24133121549561454	bound	566	all	5_5	1	weight	FOC	566	all	10_10	319	grijs	0.24677478877398984
grijs.foc5.all.selection.bound.min1.soc4.nav.5000	0.3595668694084669	-0.24113196256388972	bound	566	all	5_5	1	selection	5000	5000	nav	4_4	319	grijs	0.24552022324286188
grijs.foc5.all.selection.bound.min1.soc4.nav.10000	0.3964367567209905	-0.27658792306505364	bound	566	all	5_5	1	selection	10000	10000	nav	4_4	319	grijs	0.238072201467351
grijs.foc5.all.selection.bound.min1.soc4.nav.FOC	0.2068565983405137	-0.28233874079292726	bound	566	all	5_5	1	selection	FOC	566	nav	4_4	319	grijs	0.23316635606968136
grijs.foc5.all.selection.bound.min1.soc10.nav.5000	0.16363901317969565	-0.12509696005305782	bound	566	all	5_5	1	selection	5000	5000	nav	10_10	319	grijs	0.2463115202270957
grijs.foc5.all.selection.bound.min1.soc10.nav.10000	0.18883267656786362	-0.16892918683681624	bound	566	all	5_5	1	selection	10000	10000	nav	10_10	319	grijs	0.2395548150489311
grijs.foc5.all.selection.bound.min1.soc10.nav.FOC	0.10453543910945179	-0.21543008388586085	bound	566	all	5_5	1	selection	FOC	566	nav	10_10	319	grijs	0.22574441582357335
grijs.foc5.all.selection.bound.min1.soc4.all.5000	0.35977313236881586	-0.23354582548937078	bound	566	all	5_5	1	selection	5000	5000	all	4_4	319	grijs	0.2508367108024245
grijs.foc5.all.selection.bound.min1.soc4.all.10000	0.3813149088610595	-0.25764283932311494	bound	566	all	5_5	1	selection	10000	10000	all	4_4	319	grijs	0.24311845910020335
grijs.foc5.all.selection.bound.min1.soc4.all.FOC	0.20685660697239197	-0.28233875044108103	bound	566	all	5_5	1	selection	FOC	566	all	4_4	319	grijs	0.23316635606968136
grijs.foc5.all.selection.bound.min1.soc10.all.5000	0.17373973314328406	-0.11686773172176598	bound	566	all	5_5	1	selection	5000	5000	all	10_10	319	grijs	0.2483520236947804
grijs.foc5.all.selection.bound.min1.soc10.all.10000	0.17837629280988582	-0.14314473756795398	bound	566	all	5_5	1	selection	10000	10000	all	10_10	319	grijs	0.2449214953874309
grijs.foc5.all.selection.bound.min1.soc10.all.FOC	0.1045354935334483	-0.21543012185357294	bound	566	all	5_5	1	selection	FOC	566	all	10_10	319	grijs	0.22574441582357335
grijs.foc5.all.no.bound.min1.soc4.nav.5000	0.48591612962907965	0.058700088086000156	bound	814	all	5_5	1	no	5000	5000	nav	4_4	319	grijs	0.2471298856703538
grijs.foc5.all.no.bound.min1.soc4.nav.10000	0.51332834058817	0.019655711748994276	bound	814	all	5_5	1	no	10000	10000	nav	4_4	319	grijs	0.24359749433941372
grijs.foc5.all.no.bound.min1.soc4.nav.FOC	0.2775734772946316	-0.11514779960214822	bound	814	all	5_5	1	no	FOC	814	nav	4_4	319	grijs	0.2366349464787648
grijs.foc5.all.no.bound.min1.soc10.nav.5000	0.2475123992409923	0.12777043375907932	bound	814	all	5_5	1	no	5000	5000	nav	10_10	319	grijs	0.2424964437008959
grijs.foc5.all.no.bound.min1.soc10.nav.10000	0.27655937634496186	0.08901305181709826	bound	814	all	5_5	1	no	10000	10000	nav	10_10	319	grijs	0.23845252595046318
grijs.foc5.all.no.bound.min1.soc10.nav.FOC	0.14379668747985452	-0.058873307231069455	bound	814	all	5_5	1	no	FOC	814	nav	10_10	319	grijs	0.23400215951345624
grijs.foc5.all.no.bound.min1.soc4.all.5000	0.48309251866120523	0.07371560634822737	bound	814	all	5_5	1	no	5000	5000	all	4_4	319	grijs	0.2489393359169776
grijs.foc5.all.no.bound.min1.soc4.all.10000	0.5016465365652183	0.03991576209222482	bound	814	all	5_5	1	no	10000	10000	all	4_4	319	grijs	0.244813196577505
grijs.foc5.all.no.bound.min1.soc4.all.FOC	0.277573539279452	-0.11514781406790994	bound	814	all	5_5	1	no	FOC	814	all	4_4	319	grijs	0.2366349464787648
grijs.foc5.all.no.bound.min1.soc10.all.5000	0.25275836337646895	0.1503101162730732	bound	814	all	5_5	1	no	5000	5000	all	10_10	319	grijs	0.24286851720507133
grijs.foc5.all.no.bound.min1.soc10.all.10000	0.2646422536210082	0.11362558540924682	bound	814	all	5_5	1	no	10000	10000	all	10_10	319	grijs	0.24090503878219116
grijs.foc5.all.no.bound.min1.soc10.all.FOC	0.14379662653098904	-0.05887330160996285	bound	814	all	5_5	1	no	FOC	814	all	10_10	319	grijs	0.23400215951345624
