id	left	target	right
heet/adj/parool_20001013_2/508	keer de finish niet . Het was die dag verschrikkelijk	heet	en daar kan Walkier slecht tegen . Hij stapte al
heet/adj/parool_19990206_100/67	ministeriële verantwoordelijkheid voor het koningshuis is bij deze zaak het	hete	hangijzer . Maar onze ministers draaien voorlopig nog even om
heet/adj/parool_19991109_83/631	held van het verhaal , ontloopt zijn straf - een	hete	strijkbout over zijn rug - door poedelnaakt de straat op
heet/adj/parool_19990731_74/840	is het nu toch verschenen . True at first light	heet	het boek : het vijfde werk dat verscheen nadat Hemingway
heet/adj/parool_19991029_90/1371	zitten . Er is uitgestrekt grasland , hoge bergtoppen ,	hete	bronnen en een rode woestijn . En dan heeft de
heet/adj/parool_20020330_75/297	is een zoete appel uit de Betuwe , geschikt voor	hete	"bliksem . De Dantziger Kantapfel ... 	 Ook al zo'n"
heet/adj/algemeen_dagblad_19990604_27/2321	echt het gevoel heb dat een peuter bewust in een	heet	bad is gezet , schakel ik de vertrouwensarts in .
heet/adj/algemeen_dagblad_20031119_110/100	op de stof capsaicine . Deze stof geeft chilipepers hun	hete	smaak . Als je pepers eet , denken je hersenen
heet/adj/algemeen_dagblad_20031119_110/197	er wordt gezegd dat pepers eten verslavend is : hoe	heter	, hoe beter . Wie zijn mond brandt , grijpt
heet/adj/algemeen_dagblad_20020525_87/692	zekerheid nóg een keer gedaan hebt , mag je het	hete	bad in . Meestal verlaten de Japanners op dat moment
heet/adj/algemeen_dagblad_20040924_117/102	is bang voor lawaai . Hij is zo sensibel en	heet	, dat hij bijna niet te hanteren is . Maar
heet/adj/algemeen_dagblad_20010720_81/228	status van de taal van de Albanese minderheid is een	heet	hangijzer . Het vredesvoorstel dat woensdag is besproken handhaaft het
heet/adj/algemeen_dagblad_19990821_140/224	de zaadjes uit de pepers voor een ` medium '	hete	sambal en de helft voor een ` pedis ' versie
heet/adj/algemeen_dagblad_20000714_42/33	Jeruzalem laten uitlekken . De status van Jeruzalem is het	heetste	hangijzer in de besprekingen die onder supervisie van president Clinton
heet/adj/algemeen_dagblad_19990823_47/247	groenten . Roer de sambal badjak los met 2 el	heet	water . Verhit de olie en boter in een wok
heet/adj/algemeen_dagblad_19991110_48/304	erbij ( meer indien nodig , of vul aan met	heet	water ) en voeg pompoen en raap toe . Kook
heet/adj/algemeen_dagblad_20031119_111/38	tegelijk , verdooft zichzelf en kan daardoor steeds scherpere en	hetere	gerechten aan . Dit fenomeen trok de aandacht van de
heet/adj/algemeen_dagblad_20010918_70/108	de staats- en regeringsleiders . Het ijzer smeden als het	heet	is , heet dat in goed Nederlands . Landen die
heet/adj/algemeen_dagblad_19990105_103/458	. Kosovo binnen of buiten Servië , dat is het	hete	hangijzer . Milosevic wil dat Kosovo deel blijft uitmaken van
heet/adj/algemeen_dagblad_20000105_9/261	hier allemaal elektrisch , dus kunnen we wel met keteltjes	heet	water in de weer . Dat je koud moest douchen
heet/adj/algemeen_dagblad_20000610_33/62	, met temperaturen ver boven de 40 graden , te	heet	voor gevechtshandelingen . De Ethiopische premier Meles Zenawi verklaarde vorige
heet/adj/algemeen_dagblad_20000106_162/651	, schijnt , er wordt gezegd dat en naar het	heet	is hoog . Dat maakt de verhalen er niet sterker
heet/adj/algemeen_dagblad_19990621_127/527	in de namiddag even in de zon . Vermijd de	heetste	uren . Doe altijd zonnebescherming op . Het is helaas
heet/adj/algemeen_dagblad_19991216_172/259	wat zout door . Giet een pollepel beslag in het	hete	vet en laat de pannenkoek langer dan ` gewone '
heet/adj/algemeen_dagblad_20030418_100/212	Turkse-Marokkaanse-Tunesische winkels ) . Blaker de paprika's bruin in een	hete	( 220°C ) oven , stop ze 10 minuten in
heet/adj/algemeen_dagblad_20000203_187/244	overnam . Toen hem na Dolle Dinsdag de grond te	heet	onder de voeten werd , haalde hij 30.000 gulden van
heet/adj/algemeen_dagblad_20001211_84/209	passen . Schroei ze op hun hoed in het flink	hete	vet . Draai ze om als de hoed koffiebruin is
heet/adj/algemeen_dagblad_20030512_69/21	kunst de moeder der aarde . Ik word hier niet	heet	of koud van . Als anderen dat wel worden ,
heet/adj/algemeen_dagblad_20030726_68/219	naar Spanje , Italië of Griekenland gaat . Veel te	heet	en te droog . Dan blijf je toch in Nederland
heet/adj/algemeen_dagblad_20010301_159/308	een functionaris . De arrestatie van Milosevic is politiek een	heet	hangijzer geworden . Te meer omdat de pas gekozen Servische
heet/adj/algemeen_dagblad_20000215_21/538	"niet in het belang van de recreatieondernemer . 	 Een"	heet	hangijzer is de jacht . In de Flora- en faunawet
heet/adj/algemeen_dagblad_19991023_22/114	Nijmegen . Carel Jansen is de naam en zijn vakgebied	heet	bedrijfscommunicatie . Gisteren sprak hij zijn oratie uit met de
heet/adj/algemeen_dagblad_20031113_60/356	blijven er 28 finalistes over die moeten deelnemen aan '	hete	en obscene uitdagingen ' bedoeld om de ' echte pornosletten
heet/adj/algemeen_dagblad_20030415_42/231	Stegge draaide bij de nieuwe koerswijziging ook niet om de	hete	brei heen , al toonde hij zich niet zo gelukkig
heet/adj/algemeen_dagblad_20040317_134/239	broodkruim ( geroosterd in een lauwe oven of in een	hete	, droge koekenpan ) ; 30 gram boter ; 2
heet/adj/algemeen_dagblad_19990803_51/416	. Ook de zonwering pas gebruiken als het binnen te	heet	wordt , is onverstandig . Pas als dat allemaal niet
heet/adj/algemeen_dagblad_19990721_94/812	"niet . 	 Het is aardig bedoeld , maar zó"	heet	was het nu ook weer niet in Gemert , Oldebroek
heet/adj/algemeen_dagblad_20030908_109/107	is van alles mis is . Zo hangen 300 graden	hete	spotjes op centimeters van gordijnen , wordt ongeschikt snoer als
heet/adj/algemeen_dagblad_20040603_114/364	3 eetlepels geschaafde amandelen , kort honingblond geroosterd in een	hete	koekenpan
heet/adj/algemeen_dagblad_20010113_206/434	. Lekkere bijkomstigheid : ook de olie en sherry worden	heet	. Een goede basis voor een saus met pit
heet/adj/algemeen_dagblad_20001011_18/304	de loep te nemen . Soft drugs blijven echter een	hete	aardappel . Premier Blair en zijn collega's weigeren hun ervaringen
heet/adj/algemeen_dagblad_20000219_53/145	recht op haar doel af en draaide nooit om de	hete	brij heen . En niet alleen de rechten van vrouwen
heet/adj/algemeen_dagblad_20030729_03/65	"van het schijfje maar langzaam op gang . 	 Wat"	heet	"	 , glimlacht de zanger tussen twee slokken koffie door"
heet/adj/algemeen_dagblad_20031008_01/255	straat winkeldieven probeert te pakken . Rotterdam -Na een historisch	hete	zomer is de Nederlander de warmte nog niet beu .
heet/adj/algemeen_dagblad_20020531_162/1069	"ons best met z'n allen 	 . Vandaag is er"	hete	bliksem met een rundersaucijs of de mexicomix plus kalkoenburger .
heet/adj/algemeen_dagblad_20040308_79/188	serie doet ze nu even niet . Ze heeft het	heet	onder haar blonde pruik en haar ' vrouwonvriendelijk hoge hakken
heet/adj/algemeen_dagblad_20040419_57/242	Toch was het ook in het verleden wel eens aanmerkelijk	heter	. In 1909 en 1979 steeg het kwik tot 38
heet/adj/algemeen_dagblad_20001204_86/91	aantal ijzers in het vuur ' heeft . Als die	heet	zijn , zullen we meer horen
heet/adj/algemeen_dagblad_19990616_116/80	Alleen heet het nu geen etnische zuivering meer , het	heet	bevijding . De laatste tweehonderdduizend Serviërs moeten nu huis en
heet/adj/algemeen_dagblad_19990707_124/210	de avond - zitten ; de kamers zijn net zo	heet	als de koelkast . Nee , we zitten op de
heet/adj/algemeen_dagblad_20030822_06/130	tot 10.000 . In dat land was het niet alleen	heter	dan in Nederland , maar er wonen ook bijna vier
heet/adj/algemeen_dagblad_20041007_150/188	ploegen ` Chinese thee ' krijgen . Vanzelfsprekend iets te	heet	opgediend . Maar aangelengd met wat water en twee suikerklontjes
heet/adj/algemeen_dagblad_20020518_183/206	. Achter de vervallen muren van voormalige fabriekjes repeteren de	heetste	big bands . Een al even onopvallende gevel aan de
heet/adj/algemeen_dagblad_20000816_47/419	Borneo , Japan . In dat land deelt ze in	heet	bronwater het bad met een makaak , terwijl de soortgenoten
heet/adj/algemeen_dagblad_19990531_102/1369	men intussen aan de één miljoen gulden-vraag toegekomen . Hoe	heet	de eenogige in de Griekse mythologie , roept de stem
heet/adj/algemeen_dagblad_20000415_91/614	grote concentraties koolwaterstoffen worden gevonden op plekken waar zich vroeger	heet	magma in het gesteente drong . Dit betekent dat de
heet/adj/algemeen_dagblad_20020607_144/755	De meeste acteurs draaien onderling toch een beetje om de	hete	"brij heen . 	 En thuis , met zijn acterende"
