_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
horde.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.1313499336732953	0.20597481057053213	1	FOC	669	274	horde	NA	NA	nobound	669	lex	5_5	no	all	4_4	0.16678601807617038	BOW
horde.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.16105065577530933	-0.2244264527814917	1	5000	5000	276	horde	NA	NA	nobound	614	all	5_5	weight	nav	4_4	0.14918168936291967	BOW
horde.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.03873438581878829	-1.017885446345418	1	5000	5000	276	horde	NA	NA	nobound	614	all	5_5	weight	all	4_4	0.1658766979650846	BOW
horde.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3495629267782606	0.13367582510394985	1	FOC	330	276	horde	NA	NA	nobound	614	all	5_5	weight	nav	4_4	0.14364241785213905	BOW
horde.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.32672765687857697	0.08468427341715389	1	FOC	614	276	horde	NA	NA	nobound	614	all	5_5	weight	all	4_4	0.14319670557216385	BOW
horde.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.4464517991463279	0.8415323713373244	1	5000	5000	276	horde	NA	NA	nobound	614	all	5_5	selection	nav	4_4	0.18850417146870735	BOW
horde.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.47171839198419774	-0.9482512635062104	1	5000	5000	276	horde	NA	NA	nobound	614	all	5_5	selection	all	4_4	0.1903223676384637	BOW
horde.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0690427401089496	0.39862927562434586	1	FOC	330	276	horde	NA	NA	nobound	614	all	5_5	selection	nav	4_4	0.1592745396112304	BOW
horde.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.06871381155741058	0.37394904448996513	1	FOC	614	276	horde	NA	NA	nobound	614	all	5_5	selection	all	4_4	0.16716650350235038	BOW
horde.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.41663392824328094	1.2884577394374361	1	5000	5000	278	horde	NA	NA	nobound	932	all	5_5	no	nav	4_4	0.21691181326446465	BOW
horde.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.7403706083012203	-1.6350224793322277	1	5000	5000	278	horde	NA	NA	nobound	932	all	5_5	no	all	4_4	0.22264312121701813	BOW
