pmi	cw
2.860062	bedelaar/noun
1.362423	bedenkelijk/adj
0.5620996	bedenking/noun
2.5848856	bedevaart/noun
2.3083558	bedevaart_oord/noun
0.20172025	bediende/noun
4.0979247	bedoeïenen/noun
1.5804523	bedreig/adj
1.3948532	bedreig/verb
0.21235137	bedreiging/noun
0.84147435	bedrijfsresultaat/noun
1.1986945	bedrijventerrein/noun
2.1941504	bedwing/verb
0.84081733	beeld/noun
0.33264196	beeldend/adj
1.1217563	beeldscherm/noun
1.3171223	been/noun
1.4382635	been_bij/verb
1.360175	beer/noun
0.54267865	beest/noun
1.5344192	beest_DIM/noun
0.6944545	beetje/adv
1.1245333	befaamd/adj
0.62476164	bega/verb
1.4645637	begaafd/adj
1.7032607	begeef/verb
0.9496937	begeleid/adj
1.2334689	begeleider/noun
0.55476093	begin/adj
0.04315758	begin/verb
1.6687105	beginner/noun
5.868162	begoten/adj
0.18017934	begrafenis/noun
0.16209076	begrijp/verb
2.9570813	begroeiing/noun
0.8077722	begroet/verb
2.3164709	begroting_overschot/noun
0.34057206	behaal/verb
2.1447537	beheer_raad/noun
1.9474982	beheerder/noun
4.5194597	behendigheid_proef/noun
0.89591974	behoed/verb
4.9448476	behoefte_bevrediging/noun
1.0438918	behoeve/prep
0.30009347	behoorlijk/adj
0.048754867	behoud/verb
1.5720462	behoudend/adj
2.4261076	beige/adj
3.462488	beijver/verb
0.9928539	bejaard/adj
1.9939829	bejubel/verb
0.81856036	bek/noun
1.1951995	bekeken/adj
2.9825742	bekijks/noun
3.6590168	beklagenswaardig/adj
0.49835432	bekleed/verb
2.322569	beklim/verb
4.232636	beknel/verb
2.233711	bekoel/verb
1.5256162	bekogel/verb
0.4846578	bekom/verb
1.2232208	bel_aan/verb
0.5330415	bel_op/verb
3.5197492	belaag/verb
2.3931313	beladen/adj
0.73661655	belangrijk/adj
2.9311702	belangstellend/adj
2.5787418	belangstellende/noun
0.088246696	belangstelling/noun
1.7929046	belangwekkend/adj
3.794381	belasting_herziening/noun
1.1234215	beledig/verb
2.83376	beleg/noun
3.6810226	beleger/verb
2.4455366	belegering/noun
0.80028486	belegger/noun
0.9035939	belemmer/verb
1.3618393	belemmering/noun
0.22438227	belet/verb
0.58125323	belicht/verb
0.8173465	belofte/noun
4.1614137	belofte_kampioen/noun
0.6667973	beloofd/adj
1.7018272	bemachtig/verb
1.7062207	beman/verb
0.76407397	bemiddelaar/noun
2.54974	beminnelijk/adj
0.33821753	ben_kwijt/verb
2.9420917	ben_rond/verb
0.3130109	ben_uit/verb
2.0097537	bende_lid/noun
