_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.2164330293102565	0.07467087825201676	bound	nav	5_5	selection	477	1	10000	10000	nav	10_10	304	grijs	0.24536353428071517
grijs.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.1501688421370655	0.08717813326687449	bound	nav	5_5	selection	477	1	FOC	477	nav	10_10	304	grijs	0.23587515790693292
grijs.foc5.nav.selection.bound.min1.soc4.all.5000	-0.2746704462251834	0.09075724663046088	bound	nav	5_5	selection	477	1	5000	5000	all	4_4	304	grijs	0.25505537248859356
grijs.foc5.nav.selection.bound.min1.soc4.all.10000	-0.25524153685164863	0.1085583819667709	bound	nav	5_5	selection	477	1	10000	10000	all	4_4	304	grijs	0.25209457801778506
grijs.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.1583493283561488	0.10039798149088679	bound	nav	5_5	selection	477	1	FOC	477	all	4_4	304	grijs	0.24965909727527844
grijs.foc5.nav.selection.bound.min1.soc10.all.5000	-0.24976012414095464	0.05770770381201852	bound	nav	5_5	selection	477	1	5000	5000	all	10_10	304	grijs	0.2478596290665315
grijs.foc5.nav.selection.bound.min1.soc10.all.10000	-0.22397953692856004	0.06849334005137456	bound	nav	5_5	selection	477	1	10000	10000	all	10_10	304	grijs	0.24781730069788702
grijs.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.15016937584710252	0.08717752782446359	bound	nav	5_5	selection	477	1	FOC	477	all	10_10	304	grijs	0.23587515790693292
grijs.foc5.nav.no.bound.min1.soc4.nav.5000	-0.24735554341442392	0.09269304445837367	bound	nav	5_5	no	477	1	5000	5000	nav	4_4	304	grijs	0.25255348451115966
grijs.foc5.nav.no.bound.min1.soc4.nav.10000	-0.2551241991685752	0.12189234821321798	bound	nav	5_5	no	477	1	10000	10000	nav	4_4	304	grijs	0.2481144732539925
grijs.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.1583484709563822	0.1003986607888886	bound	nav	5_5	no	477	1	FOC	477	nav	4_4	304	grijs	0.24965909727527844
grijs.foc5.nav.no.bound.min1.soc10.nav.5000	-0.22726906752966	0.060948550666572725	bound	nav	5_5	no	477	1	5000	5000	nav	10_10	304	grijs	0.24674738813651861
grijs.foc5.nav.no.bound.min1.soc10.nav.10000	-0.21643296297293824	0.07467071531211071	bound	nav	5_5	no	477	1	10000	10000	nav	10_10	304	grijs	0.24536353428071517
grijs.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.1501685733336561	0.08717843810276195	bound	nav	5_5	no	477	1	FOC	477	nav	10_10	304	grijs	0.23587515790693292
grijs.foc5.nav.no.bound.min1.soc4.all.5000	-0.2746705379873606	0.09075694018661569	bound	nav	5_5	no	477	1	5000	5000	all	4_4	304	grijs	0.25505537248859356
grijs.foc5.nav.no.bound.min1.soc4.all.10000	-0.25524168041957707	0.10855807242580705	bound	nav	5_5	no	477	1	10000	10000	all	4_4	304	grijs	0.25209457801778506
grijs.foc5.nav.no.bound.min1.soc4.all.FOC	-0.1583490409527523	0.10039820864831075	bound	nav	5_5	no	477	1	FOC	477	all	4_4	304	grijs	0.24965909727527844
grijs.foc5.nav.no.bound.min1.soc10.all.5000	-0.24976003931773472	0.057707854814055354	bound	nav	5_5	no	477	1	5000	5000	all	10_10	304	grijs	0.2478596290665315
grijs.foc5.nav.no.bound.min1.soc10.all.10000	-0.22397959220101551	0.06849348384013046	bound	nav	5_5	no	477	1	10000	10000	all	10_10	304	grijs	0.24781730069788702
grijs.foc5.nav.no.bound.min1.soc10.all.FOC	-0.15016910712599416	0.08717783252829966	bound	nav	5_5	no	477	1	FOC	477	all	10_10	304	grijs	0.23587515790693292
grijs.foc5.all.weight.bound.min1.soc4.nav.5000	-0.0020481792651230414	0.2186779620152468	bound	all	5_5	weight	566	1	5000	5000	nav	4_4	319	grijs	0.25659832757760836
grijs.foc5.all.weight.bound.min1.soc4.nav.10000	0.020098816507389775	0.28265157145833153	bound	all	5_5	weight	566	1	10000	10000	nav	4_4	319	grijs	0.25480614302315235
