_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
haken.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.17127021151796948	0.23973415600641337	NA	NA	BOW	nobound	675	all	10_10	1	selection	5000	5000	all	4_4	251	haken	NA
haken.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.053188454800130326	0.18667791863203004	NA	NA	BOW	nobound	675	all	10_10	1	selection	FOC	319	nav	4_4	251	haken	NA
haken.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.054427554532399905	0.19946942543673318	NA	NA	BOW	nobound	675	all	10_10	1	selection	FOC	675	all	4_4	251	haken	NA
haken.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.021253046005366098	0.3001216748943453	NA	NA	BOW	nobound	1473	all	10_10	1	no	5000	5000	nav	4_4	251	haken	NA
haken.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.01602813533785866	0.33551814780334616	NA	NA	BOW	nobound	1473	all	10_10	1	no	5000	5000	all	4_4	251	haken	NA
haken.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.07842258054986398	0.24489487748590044	NA	NA	BOW	nobound	1473	all	10_10	1	no	FOC	734	nav	4_4	251	haken	NA
haken.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.08410746514434149	0.27193086098632663	NA	NA	BOW	nobound	1473	all	10_10	1	no	FOC	1473	all	4_4	251	haken	NA
haken.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.2165825477538334	-0.10879685497987278	NA	NA	BOW	nobound	367	lex	5_5	1	weight	5000	5000	nav	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.23219386954107232	-0.17419517607311544	NA	NA	BOW	nobound	367	lex	5_5	1	weight	5000	5000	all	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21784424753584186	0.02584298658267564	NA	NA	BOW	nobound	367	lex	5_5	1	weight	FOC	251	nav	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.20769650142852833	0.02903967982456237	NA	NA	BOW	nobound	367	lex	5_5	1	weight	FOC	367	all	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.252190873091025	-0.06329280888107257	NA	NA	BOW	nobound	367	lex	5_5	1	selection	5000	5000	nav	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2728101420641237	-0.12651113556777496	NA	NA	BOW	nobound	367	lex	5_5	1	selection	5000	5000	all	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.21968436113131165	0.05110671681589257	NA	NA	BOW	nobound	367	lex	5_5	1	selection	FOC	251	nav	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2150615049246244	0.05787995851196263	NA	NA	BOW	nobound	367	lex	5_5	1	selection	FOC	367	all	4_4	246	haken	NA
haken.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.3026815633287402	-0.015686289620063264	NA	NA	BOW	nobound	534	lex	5_5	1	no	5000	5000	nav	4_4	249	haken	NA
haken.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.3526599052250841	-0.08566945226840647	NA	NA	BOW	nobound	534	lex	5_5	1	no	5000	5000	all	4_4	249	haken	NA
haken.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.24299295381480782	0.08931014771320879	NA	NA	BOW	nobound	534	lex	5_5	1	no	FOC	371	nav	4_4	249	haken	NA
