_id	c.model1_semcw.10k_all.10_10.x.x	c.model1_semcw.10k_all.10_10.y.x	c.model1_semcw.10k_all.5_5.x.x	c.model1_semcw.10k_all.5_5.y.x	c.model1_semcw.10k_dvnj.10_10.x.x	c.model1_semcw.10k_dvnj.10_10.y.x	c.model1_semcw.10k_dvnj.5_5.x.x	c.model1_semcw.10k_dvnj.5_5.y.x	s.model1_semcw.10k_all.10_10.x.x	s.model1_semcw.10k_all.10_10.y.x	s.model1_semcw.10k_all.5_5.x.x	s.model1_semcw.10k_all.5_5.y.x	s.model1_semcw.10k_dvnj.10_10.x.x	s.model1_semcw.10k_dvnj.10_10.y.x	s.model1_semcw.10k_dvnj.5_5.x.x	s.model1_semcw.10k_dvnj.5_5.y.x	c.model1_semcw.10k_all.10_10.x.y	c.model1_semcw.10k_all.10_10.y.y	c.model1_semcw.10k_all.5_5.x.y	c.model1_semcw.10k_all.5_5.y.y	c.model1_semcw.10k_dvnj.10_10.x.y	c.model1_semcw.10k_dvnj.10_10.y.y	c.model1_semcw.10k_dvnj.5_5.x.y	c.model1_semcw.10k_dvnj.5_5.y.y	s.model1_semcw.10k_all.10_10.x.y	s.model1_semcw.10k_all.10_10.y.y	s.model1_semcw.10k_all.5_5.x.y	s.model1_semcw.10k_all.5_5.y.y	s.model1_semcw.10k_dvnj.10_10.x.y	s.model1_semcw.10k_dvnj.10_10.y.y	s.model1_semcw.10k_dvnj.5_5.x.y	s.model1_semcw.10k_dvnj.5_5.y.y
theologian/N	0.165691534489673	-0.0990063275606357	0.188184899416782	0.153074299869879	0.202699943430536	0.0281264698580195	0.180161521102949	0.105383290728639	0.201394044535323	0.206671335872855	-0.195773769425	0.270483435375904	0.201397248011092	0.227387387388381	-0.193482598536732	0.2809515502805	0.209062004751283	0.00934473349358562	0.188184899416782	0.153074299869879	0.156121434028573	-0.135339734201265	0.180161521102949	0.105383290728639	0.181255231401611	0.239301553506394	-0.195773769425	0.270483435375904	0.201397248011092	0.227387387388381	-0.193482598536732	0.2809515502805
theological/J	0.134210847340041	-0.0563363821586062	0.204219318675715	-0.00224509861121124	0.15367424479018	-0.00533717935565159	0.171617324663862	-0.00185122944863018	0.0933819878603913	0.207568947751787	-0.105784616444274	0.230388197793135	0.0842833449597398	0.244836707038286	-0.0962112323276924	0.268491693934464	0.156673026653555	-0.0295077547832829	0.204219318675715	-0.00224509861121124	0.127261985916644	-0.0896729803885318	0.171617324663862	-0.00185122944863018	0.0768220498517482	0.226301114323465	-0.105784616444274	0.230388197793135	0.0842833449597398	0.244836707038286	-0.0962112323276924	0.268491693934464
these/D	0.02428182119988	0.00584078388947211	0.0154495636573493	-0.0423225649216592	0.014688842175409	-0.0254459686976844	0.00511261144148015	-0.0363947218964557	-0.161167524601989	0.0443948984727932	0.241024610197083	0.0763514280488038	-0.161143829388546	0.0500606830348253	0.240543254784633	0.0762637336136843	0.0235796065053715	-0.0282702195232568	0.0154495636573493	-0.0423225649216592	0.0205057159059959	-0.00974052442216287	0.00511261144148015	-0.0363947218964557	-0.159453392245287	0.0443877510847494	0.241024610197083	0.0763514280488038	-0.161143829388546	0.0500606830348253	0.240543254784633	0.0762637336136843
thin/J	-0.124033761858534	0.00518747782084278	-0.156796683283586	-0.0696764150344348	-0.12854278615243	0.0103554864609043	-0.144239803646186	-0.0334869947726289	-0.291746813192885	-0.240987328347116	0.222340340905745	-0.312309144371854	-0.316723576154994	-0.225572401523077	0.230243563645473	-0.320719064217227	-0.130931709806218	-0.0217731715397741	-0.156796683283586	-0.0696764150344348	-0.127447378990603	0.0256783711897901	-0.144239803646186	-0.0334869947726289	-0.287942002912535	-0.245748051159556	0.222340340905745	-0.312309144371854	-0.316723576154994	-0.225572401523077	0.230243563645473	-0.320719064217227
thing/N	-0.117654128835062	-0.0921348770090744	-0.106884492343173	-0.156345395594736	-0.143576333177278	-0.0572272843274791	-0.111491559759389	-0.112386537347822	-0.201072349759968	-0.0410590993345096	0.327374392264823	0.0162836257999847	-0.227856461132484	-0.0351743240842615	0.35309400147266	0.0199553339611103	-0.13172671001009	-0.106051456448919	-0.106884492343173	-0.156345395594736	-0.13426405969684	-0.0756922446157343	-0.111491559759389	-0.112386537347822	-0.211938851482047	-0.0299837868587453	0.327374392264823	0.0162836257999847	-0.227856461132484	-0.0351743240842615	0.35309400147266	0.0199553339611103
think/V	-0.173057116676537	-0.0930382402520289	-0.180583016681186	-0.142216634366935	-0.201318439500025	-0.0220775359749358	-0.176445183762566	-0.0898018681679674	-0.193681435889869	-0.106727876542027	0.353162737817985	-0.0658045143682093	-0.233769715924244	-0.0894847442901385	0.38131590769937	-0.0559243639510462	-0.198890397401278	-0.0845964041315207	-0.180583016681186	-0.142216634366935	-0.189816818653705	-0.0695244802147413	-0.176445183762566	-0.0898018681679674	-0.210336273742594	-0.096855328546462	0.353162737817985	-0.0658045143682093	-0.233769715924244	-0.0894847442901385	0.38131590769937	-0.0559243639510462
this/D	0.0325913212966522	-0.00175400166964903	0.0241065694191073	-0.0572555394575893	0.0190499126227063	-0.0339463378919499	0.0107196689608193	-0.0480712475193279	-0.124875729733446	0.0305278371616075	0.309704643313597	0.0771594148835481	-0.129147848300874	0.0318617134780747	0.306563627182793	0.0718076132752395	0.0291517729959864	-0.03961633609431	0.0241065694191073	-0.0572555394575893	0.0252974130976709	-0.0201084304113315	0.0107196689608193	-0.0480712475193279	-0.125321974786698	0.0325849663515524	0.309704643313597	0.0771594148835481	-0.129147848300874	0.0318617134780747	0.306563627182793	0.0718076132752395
those/D	-0.00378897356518957	-0.00823301106017363	-0.0169724491819574	-0.038421358521354	-0.0168942875960534	-0.0174732415859537	-0.023665638668447	-0.0317749876897843	-0.131722782335059	0.0207515104875379	0.237021837164278	0.0396160627588806	-0.134789060110946	0.0247249845589826	0.243774365024452	0.0469923031730318	-0.00799188268332635	-0.0283671706086981	-0.0169724491819574	-0.038421358521354	-0.0130455398965051	-0.0167681253716568	-0.023665638668447	-0.0317749876897843	-0.131068994018524	0.0194528462511035	0.237021837164278	0.0396160627588806	-0.134789060110946	0.0247249845589826	0.243774365024452	0.0469923031730318
tiber/N	-0.135546124184388	-0.363366499958711	-0.16820756859574	0.42270298342293	0.00925476094035668	0.398613942911674	-0.125940695071407	0.36328071718918	0.509545962821141	-0.198657730985672	-0.422752518219555	-0.0466092107779518	0.480960063722286	-0.203860090981891	-0.418248508323298	-0.0461596437729324	-0.111377647138447	0.397744453598673	-0.16820756859574	0.42270298342293	-0.0796423695803657	0.38938409125623	-0.125940695071407	0.36328071718918	0.500992023646759	-0.225461937190806	-0.422752518219555	-0.0466092107779518	0.480960063722286	-0.203860090981891	-0.418248508323298	-0.0461596437729324
to/J	0.161422847646179	0.174377997411363	0.267485798181496	-0.203723212538694	0.2145974916534	-0.119459459932242	0.195283582424086	-0.206922398296843	-0.19595731418756	0.0331605705626713	0.277414308432116	0.0663224868836053	-0.179358524585514	0.0394787920767571	0.26409924556628	0.0680063122241537	0.244168631473393	-0.0613680479054777	0.267485798181496	-0.203723212538694	0.21036304540067	0.129406993446722	0.195283582424086	-0.206922398296843	-0.191543003263877	0.0298307064775149	0.277414308432116	0.0663224868836053	-0.179358524585514	0.0394787920767571	0.26409924556628	0.0680063122241537
