_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
goedkoop.foc5.nav.no.bound.min1.soc10.nav.10000	-0.07104093819639348	0.12773824485479873	bound	631	nav	5_5	1	no	10000	10000	nav	10_10	320	goedkoop	0.25491863395861586
goedkoop.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.10769865406951776	0.059553481795240545	bound	631	nav	5_5	1	no	FOC	631	nav	10_10	320	goedkoop	0.2592775534979255
goedkoop.foc5.nav.no.bound.min1.soc4.all.5000	-0.0683570027216673	0.1934692283099564	bound	631	nav	5_5	1	no	5000	5000	all	4_4	320	goedkoop	0.2658513300903183
goedkoop.foc5.nav.no.bound.min1.soc4.all.10000	-0.08011628599363281	0.20628388033743916	bound	631	nav	5_5	1	no	10000	10000	all	4_4	320	goedkoop	0.26408511125033307
goedkoop.foc5.nav.no.bound.min1.soc4.all.FOC	-0.09658543794358153	0.10465423127260498	bound	631	nav	5_5	1	no	FOC	631	all	4_4	320	goedkoop	0.26782024015075395
goedkoop.foc5.nav.no.bound.min1.soc10.all.5000	-0.05024315401505683	0.11118533548106181	bound	631	nav	5_5	1	no	5000	5000	all	10_10	320	goedkoop	0.2548704562992979
goedkoop.foc5.nav.no.bound.min1.soc10.all.10000	-0.06324696033213593	0.11700824076469613	bound	631	nav	5_5	1	no	10000	10000	all	10_10	320	goedkoop	0.2571811612550521
goedkoop.foc5.nav.no.bound.min1.soc10.all.FOC	-0.10769865407202918	0.05955348179110572	bound	631	nav	5_5	1	no	FOC	631	all	10_10	320	goedkoop	0.2592775534979255
goedkoop.foc5.all.weight.bound.min1.soc4.nav.5000	-0.23801319679835595	0.09289678680971676	bound	528	all	5_5	1	weight	5000	5000	nav	4_4	316	goedkoop	0.26111941427050167
goedkoop.foc5.all.weight.bound.min1.soc4.nav.10000	-0.2689131468964773	0.12369734866895847	bound	528	all	5_5	1	weight	10000	10000	nav	4_4	316	goedkoop	0.2605406320507608
goedkoop.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.2807160551821573	0.05997967457659266	bound	528	all	5_5	1	weight	FOC	528	nav	4_4	316	goedkoop	0.27970011205182654
goedkoop.foc5.all.weight.bound.min1.soc10.nav.5000	-0.23229482072612698	0.041193733214357396	bound	528	all	5_5	1	weight	5000	5000	nav	10_10	316	goedkoop	0.25287789316472287
goedkoop.foc5.all.weight.bound.min1.soc10.nav.10000	-0.26071175146604786	0.055184154684227806	bound	528	all	5_5	1	weight	10000	10000	nav	10_10	316	goedkoop	0.2526933463641777
goedkoop.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.2985997353976795	0.011564930521143579	bound	528	all	5_5	1	weight	FOC	528	nav	10_10	316	goedkoop	0.2680490233198499
goedkoop.foc5.all.weight.bound.min1.soc4.all.5000	-0.22745050153595736	0.08583099574989085	bound	528	all	5_5	1	weight	5000	5000	all	4_4	316	goedkoop	0.25899211765100394
goedkoop.foc5.all.weight.bound.min1.soc4.all.10000	-0.24769006579053143	0.10569159069562292	bound	528	all	5_5	1	weight	10000	10000	all	4_4	316	goedkoop	0.2575568045509915
goedkoop.foc5.all.weight.bound.min1.soc4.all.FOC	-0.2807160254064209	0.059979810396301195	bound	528	all	5_5	1	weight	FOC	528	all	4_4	316	goedkoop	0.27970011205182654
goedkoop.foc5.all.weight.bound.min1.soc10.all.5000	-0.22155155900889523	0.04006888399879905	bound	528	all	5_5	1	weight	5000	5000	all	10_10	316	goedkoop	0.24893314919549922
goedkoop.foc5.all.weight.bound.min1.soc10.all.10000	-0.23960915721989906	0.04833026139480144	bound	528	all	5_5	1	weight	10000	10000	all	10_10	316	goedkoop	0.2496139205587197
goedkoop.foc5.all.weight.bound.min1.soc10.all.FOC	-0.2985997355585064	0.011564931069801271	bound	528	all	5_5	1	weight	FOC	528	all	10_10	316	goedkoop	0.2680490233198499
goedkoop.foc5.all.selection.bound.min1.soc4.nav.5000	0.08628391163283092	0.3200280059801992	bound	528	all	5_5	1	selection	5000	5000	nav	4_4	316	goedkoop	0.2609751962771986
goedkoop.foc5.all.selection.bound.min1.soc4.nav.10000	0.09817933819002111	0.3562757128411095	bound	528	all	5_5	1	selection	10000	10000	nav	4_4	316	goedkoop	0.26023568290097027
goedkoop.foc5.all.selection.bound.min1.soc4.nav.FOC	0.036795409406086436	0.24182836964065496	bound	528	all	5_5	1	selection	FOC	528	nav	4_4	316	goedkoop	0.26486695641667046
goedkoop.foc5.all.selection.bound.min1.soc10.nav.5000	0.04936803708567786	0.20557868355259176	bound	528	all	5_5	1	selection	5000	5000	nav	10_10	316	goedkoop	0.25369467405273677
goedkoop.foc5.all.selection.bound.min1.soc10.nav.10000	0.05170687338346703	0.23272150270143147	bound	528	all	5_5	1	selection	10000	10000	nav	10_10	316	goedkoop	0.25631739036177625
goedkoop.foc5.all.selection.bound.min1.soc10.nav.FOC	0.006365888819914456	0.15990692502771578	bound	528	all	5_5	1	selection	FOC	528	nav	10_10	316	goedkoop	0.26075326652662534
goedkoop.foc5.all.selection.bound.min1.soc4.all.5000	0.08585862900481402	0.30346818205192155	bound	528	all	5_5	1	selection	5000	5000	all	4_4	316	goedkoop	0.26048615050577956
goedkoop.foc5.all.selection.bound.min1.soc4.all.10000	0.08947958594226509	0.324176392738931	bound	528	all	5_5	1	selection	10000	10000	all	4_4	316	goedkoop	0.2616562185127609
goedkoop.foc5.all.selection.bound.min1.soc4.all.FOC	0.03679540932295867	0.24182836969726104	bound	528	all	5_5	1	selection	FOC	528	all	4_4	316	goedkoop	0.26486695641667046
goedkoop.foc5.all.selection.bound.min1.soc10.all.5000	0.05410120296150038	0.19980224094302076	bound	528	all	5_5	1	selection	5000	5000	all	10_10	316	goedkoop	0.2502259822411577
goedkoop.foc5.all.selection.bound.min1.soc10.all.10000	0.04713976287685315	0.21098490482135318	bound	528	all	5_5	1	selection	10000	10000	all	10_10	316	goedkoop	0.25364063383119995
goedkoop.foc5.all.selection.bound.min1.soc10.all.FOC	0.006365888819173377	0.15990692502966247	bound	528	all	5_5	1	selection	FOC	528	all	10_10	316	goedkoop	0.26075326652662534
goedkoop.foc5.all.no.bound.min1.soc4.nav.5000	0.34339540211192443	0.2708878590741576	bound	770	all	5_5	1	no	5000	5000	nav	4_4	320	goedkoop	0.2623182814904976
goedkoop.foc5.all.no.bound.min1.soc4.nav.10000	0.37721135262086897	0.28206384843622406	bound	770	all	5_5	1	no	10000	10000	nav	4_4	320	goedkoop	0.26374084571735257
goedkoop.foc5.all.no.bound.min1.soc4.nav.FOC	0.22812939192209183	0.20775145281308247	bound	770	all	5_5	1	no	FOC	770	nav	4_4	320	goedkoop	0.2601168355046175
