_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05942268431135883	0.12930129434084314	NA	NA	BOW	bound	302	all	3_3	1	weight	5000	5000	nav	4_4	236	herroepen	0.2568880987469714
herroepen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.13824183142547639	0.10563513955568915	NA	NA	BOW	bound	302	all	3_3	1	weight	5000	5000	all	4_4	236	herroepen	0.27045620046434865
herroepen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0676636780251516	0.1400076458812777	NA	NA	BOW	bound	302	all	3_3	1	weight	FOC	155	nav	4_4	236	herroepen	0.2821507672821974
herroepen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.06133105827010965	0.13210899035193516	NA	NA	BOW	bound	302	all	3_3	1	weight	FOC	302	all	4_4	236	herroepen	0.27125517637759095
herroepen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.08465060870977666	0.225716752115147	NA	NA	BOW	bound	302	all	3_3	1	selection	5000	5000	nav	4_4	236	herroepen	0.2417791316069654
herroepen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.012839823499675041	0.19673123447997126	NA	NA	BOW	bound	302	all	3_3	1	selection	5000	5000	all	4_4	236	herroepen	0.27151501740510686
herroepen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.02061790511614718	0.1702323614902543	NA	NA	BOW	bound	302	all	3_3	1	selection	FOC	155	nav	4_4	236	herroepen	0.26904068925119895
herroepen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.025277505647436308	0.15847865927193597	NA	NA	BOW	bound	302	all	3_3	1	selection	FOC	302	all	4_4	236	herroepen	0.2564845225133361
herroepen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.12967522958103878	0.23668181482780953	NA	NA	BOW	bound	363	all	3_3	1	no	5000	5000	nav	4_4	236	herroepen	0.20953753051908758
herroepen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.0708549104373074	0.25112910114878273	NA	NA	BOW	bound	363	all	3_3	1	no	5000	5000	all	4_4	236	herroepen	0.2672653190508459
