LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	226	all	3_3	1	selection	5000	5000	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	226	all	3_3	1	selection	FOC	86	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	226	all	3_3	1	selection	FOC	226	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	387	all	3_3	1	no	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	387	all	3_3	1	no	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	387	all	3_3	1	no	FOC	170	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	387	all	3_3	1	no	FOC	387	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	370	lex	10_10	1	weight	5000	5000	nav	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	370	lex	10_10	1	weight	5000	5000	all	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	370	lex	10_10	1	weight	FOC	256	nav	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	nobound	370	lex	10_10	1	weight	FOC	370	all	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	nobound	370	lex	10_10	1	selection	5000	5000	nav	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	nobound	370	lex	10_10	1	selection	5000	5000	all	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	nobound	370	lex	10_10	1	selection	FOC	256	nav	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	nobound	370	lex	10_10	1	selection	FOC	370	all	4_4	231	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	nobound	967	lex	10_10	1	no	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	BOW	nobound	967	lex	10_10	1	no	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	nobound	967	lex	10_10	1	no	FOC	722	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	nobound	967	lex	10_10	1	no	FOC	967	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	556	all	10_10	1	weight	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	556	all	10_10	1	weight	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	556	all	10_10	1	weight	FOC	256	nav	4_4	240	herinneren	NA
