_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
heilzaam.foc10.all.no.bound.min1.soc10.nav.5000	0.36049821600882404	-0.1209655870415953	bound	all	10_10	no	780	1	5000	5000	nav	10_10	239	heilzaam	0.23128665662609704
heilzaam.foc10.all.no.bound.min1.soc10.nav.10000	0.34580102238401794	-0.10931024432649389	bound	all	10_10	no	780	1	10000	10000	nav	10_10	239	heilzaam	0.2195926962210232
heilzaam.foc10.all.no.bound.min1.soc10.nav.FOC	0.24817533437231315	-0.12134648781365814	bound	all	10_10	no	780	1	FOC	780	nav	10_10	239	heilzaam	0.23647094469792165
heilzaam.foc10.all.no.bound.min1.soc4.all.5000	0.45111875693702025	-0.01781769523641848	bound	all	10_10	no	780	1	5000	5000	all	4_4	239	heilzaam	0.21373442998893905
heilzaam.foc10.all.no.bound.min1.soc4.all.10000	0.45099900928412484	0.0010611296279148797	bound	all	10_10	no	780	1	10000	10000	all	4_4	239	heilzaam	0.18261226159328045
heilzaam.foc10.all.no.bound.min1.soc4.all.FOC	0.34742379805221646	-0.0266459222744311	bound	all	10_10	no	780	1	FOC	780	all	4_4	239	heilzaam	0.22166849912065906
heilzaam.foc10.all.no.bound.min1.soc10.all.5000	0.352058044044052	-0.12432164583864878	bound	all	10_10	no	780	1	5000	5000	all	10_10	239	heilzaam	0.2331162365426009
heilzaam.foc10.all.no.bound.min1.soc10.all.10000	0.35590128684456157	-0.11377676523578653	bound	all	10_10	no	780	1	10000	10000	all	10_10	239	heilzaam	0.22388339224179812
heilzaam.foc10.all.no.bound.min1.soc10.all.FOC	0.2481753626566128	-0.121346447470557	bound	all	10_10	no	780	1	FOC	780	all	10_10	239	heilzaam	0.23647094469792165
heilzaam.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.29138048477666734	0.0840294410996713	bound	nav	5_5	weight	392	1	5000	5000	nav	4_4	235	heilzaam	0.24298286172989986
heilzaam.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.3009461005405482	0.09841371747280722	bound	nav	5_5	weight	392	1	10000	10000	nav	4_4	235	heilzaam	0.23193277748604976
heilzaam.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.2876940082525172	0.11661619949971795	bound	nav	5_5	weight	392	1	FOC	392	nav	4_4	235	heilzaam	0.24101220782797528
heilzaam.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.26159753243376727	0.07062252423585443	bound	nav	5_5	weight	392	1	5000	5000	nav	10_10	235	heilzaam	0.2374017258757733
heilzaam.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.27432442990342726	0.07737603699166201	bound	nav	5_5	weight	392	1	10000	10000	nav	10_10	235	heilzaam	0.22778725951217454
