	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
geestig/adj/nrc_handelsblad_20011130_154/298/R14	geestig/adj/nrc_handelsblad_20011130_154/298	R14	Tijger	name	Tijger/name	Tijger	False	R	15			
geestig/adj/nrc_handelsblad_20011130_154/298/R15												
geestig/adj/nrc_handelsblad_20040220_125/203/L0	geestig/adj/nrc_handelsblad_20040220_125/203	L0	evenzo_goed	adj	evenzo_goed/adj	evenzogoed	True	L	1			
geestig/adj/nrc_handelsblad_20040220_125/203/L1	geestig/adj/nrc_handelsblad_20040220_125/203	L1	die	pron	die/pron	die	True	L	2	0.30651462	2519801.0	521.0
geestig/adj/nrc_handelsblad_20040220_125/203/L2	geestig/adj/nrc_handelsblad_20040220_125/203	L2	over	part	over/part	over	True	L	3	-0.11673466	111584.0	15.0
geestig/adj/nrc_handelsblad_20040220_125/203/L3	geestig/adj/nrc_handelsblad_20040220_125/203	L3	koe	noun	koe/noun	koe	True	L	4	-0.043351084000000005	13940.0	2.0
geestig/adj/nrc_handelsblad_20040220_125/203/L4	geestig/adj/nrc_handelsblad_20040220_125/203	L4	een	det	een/det	een	True	L	5	0.27271274	11075723.0	2204.0
geestig/adj/nrc_handelsblad_20040220_125/203/L5	geestig/adj/nrc_handelsblad_20040220_125/203	L5	als	prep	als/prep	als	True	L	6	0.5876416	1263756.0	345.0
geestig/adj/nrc_handelsblad_20040220_125/203/L6	geestig/adj/nrc_handelsblad_20040220_125/203	L6	waarheid	noun	waarheid/noun	waarheid	True	L	7	-0.40372995	19849.0	2.0
geestig/adj/nrc_handelsblad_20040220_125/203/L7	geestig/adj/nrc_handelsblad_20040220_125/203	L7	een	det	een/det	een	True	L	8	0.27271274	11075723.0	2204.0
geestig/adj/nrc_handelsblad_20040220_125/203/L8	geestig/adj/nrc_handelsblad_20040220_125/203	L8	kind	noun	kind/noun	kinderen	True	L	9	-0.69720316	305978.0	23.0
geestig/adj/nrc_handelsblad_20040220_125/203/L9	geestig/adj/nrc_handelsblad_20040220_125/203	L9	voor	prep	voor/prep	voor	True	L	10	-0.53236806	3806927.0	337.0
geestig/adj/nrc_handelsblad_20040220_125/203/L10	geestig/adj/nrc_handelsblad_20040220_125/203	L10	er	adv	er/adv	er	True	L	11	-0.5299746	1744977.0	156.0
geestig/adj/nrc_handelsblad_20040220_125/203/L11	geestig/adj/nrc_handelsblad_20040220_125/203	L11	blijf_over	verb	blijf_over/verb	blijft	True	L	12			
geestig/adj/nrc_handelsblad_20040220_125/203/L12	geestig/adj/nrc_handelsblad_20040220_125/203	L12	tegelijkertijd	adj	tegelijkertijd/adj	Tegelijkertijd	True	L	13			
geestig/adj/nrc_handelsblad_20040220_125/203/L13	geestig/adj/nrc_handelsblad_20040220_125/203	L13	sentence_delimiter	none	none	<sentence>	none	L	14			
geestig/adj/nrc_handelsblad_20040220_125/203/L14	geestig/adj/nrc_handelsblad_20040220_125/203	L14	sentence_delimiter	none	none	</sentence>	none	L	15			
geestig/adj/nrc_handelsblad_20040220_125/203/L15												
geestig/adj/nrc_handelsblad_20040220_125/203/R0	geestig/adj/nrc_handelsblad_20040220_125/203	R0	ben	verb	ben/verb	is	True	R	1	0.38828874	9938754.0	2217.0
geestig/adj/nrc_handelsblad_20040220_125/203/R1	geestig/adj/nrc_handelsblad_20040220_125/203	R1	.	punct	./punct	.	True	R	2			
geestig/adj/nrc_handelsblad_20040220_125/203/R2	geestig/adj/nrc_handelsblad_20040220_125/203	R2	sentence_delimiter	none	none	</sentence>	none	R	3			
geestig/adj/nrc_handelsblad_20040220_125/203/R3	geestig/adj/nrc_handelsblad_20040220_125/203	R3	sentence_delimiter	none	none	<sentence>	none	R	4			
geestig/adj/nrc_handelsblad_20040220_125/203/R4	geestig/adj/nrc_handelsblad_20040220_125/203	R4	zal	verb	zal/verb	Zullen	False	R	5	-0.81023383	1661300.0	112.0
geestig/adj/nrc_handelsblad_20040220_125/203/R5	geestig/adj/nrc_handelsblad_20040220_125/203	R5	kind	noun	kind/noun	kinderen	False	R	6	-0.69720316	305978.0	23.0
geestig/adj/nrc_handelsblad_20040220_125/203/R6	geestig/adj/nrc_handelsblad_20040220_125/203	R6	ook	adv	ook/adv	ook	False	R	7	0.39413226	2214625.0	499.0
geestig/adj/nrc_handelsblad_20040220_125/203/R7	geestig/adj/nrc_handelsblad_20040220_125/203	R7	(	verb	(/verb	(	False	R	8			
geestig/adj/nrc_handelsblad_20040220_125/203/R8	geestig/adj/nrc_handelsblad_20040220_125/203	R8	glim-)lachen	verb	glim-)lachen/verb	glim-)lachen	False	R	9			
geestig/adj/nrc_handelsblad_20040220_125/203/R9	geestig/adj/nrc_handelsblad_20040220_125/203	R9	om	prep	om/prep	om	False	R	10	-0.43605566	500648.0	49.0
geestig/adj/nrc_handelsblad_20040220_125/203/R10	geestig/adj/nrc_handelsblad_20040220_125/203	R10	het	det	het/det	Het	False	R	11	-0.028987847	11650779.0	1712.0
geestig/adj/nrc_handelsblad_20040220_125/203/R11	geestig/adj/nrc_handelsblad_20040220_125/203	R11	boek	noun	boek/noun	boek	False	R	12	1.9020373	157857.0	160.0
geestig/adj/nrc_handelsblad_20040220_125/203/R12	geestig/adj/nrc_handelsblad_20040220_125/203	R12	van	prep	van/prep	van	False	R	13	-0.10687933	12638933.0	1718.0
geestig/adj/nrc_handelsblad_20040220_125/203/R13	geestig/adj/nrc_handelsblad_20040220_125/203	R13	alle	det	alle/det	alle	False	R	14	-0.2662735	422543.0	49.0
geestig/adj/nrc_handelsblad_20040220_125/203/R14	geestig/adj/nrc_handelsblad_20040220_125/203	R14	ding	noun	ding/noun	dingen	False	R	15			
geestig/adj/nrc_handelsblad_20040220_125/203/R15												
geestig/adj/nrc_handelsblad_20001201_188/1730/L0	geestig/adj/nrc_handelsblad_20001201_188/1730	L0	even	adj	even/adj	even	True	L	1	0.5445665	172619.0	45.0
geestig/adj/nrc_handelsblad_20001201_188/1730/L1	geestig/adj/nrc_handelsblad_20001201_188/1730	L1	steeds	adv	steeds/adv	steeds	True	L	2	-0.0023914627	252048.0	38.0
geestig/adj/nrc_handelsblad_20001201_188/1730/L2	geestig/adj/nrc_handelsblad_20001201_188/1730	L2	niet	adv	niet/adv	niet	True	L	3	-0.13294972	3455007.0	458.0
geestig/adj/nrc_handelsblad_20001201_188/1730/L3	geestig/adj/nrc_handelsblad_20001201_188/1730	L3	ben	verb	ben/verb	is	True	L	4	0.38828874	9938754.0	2217.0
