_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
hachelijk.foc10.all.selection.bound.min1.soc4.nav.FOC	0.3187166679266759	-0.013148206495784881	bound	all	10_10	selection	658	1	FOC	658	nav	4_4	239	hachelijk	0.2281935668425647
hachelijk.foc10.all.selection.bound.min1.soc10.nav.5000	0.3174060136060218	0.0504026634953318	bound	all	10_10	selection	658	1	5000	5000	nav	10_10	239	hachelijk	0.23087855117477976
hachelijk.foc10.all.selection.bound.min1.soc10.nav.10000	0.32019007880925027	0.041131476344031206	bound	all	10_10	selection	658	1	10000	10000	nav	10_10	239	hachelijk	0.22740585899052954
hachelijk.foc10.all.selection.bound.min1.soc10.nav.FOC	0.26115189946066963	0.06258499305060435	bound	all	10_10	selection	658	1	FOC	658	nav	10_10	239	hachelijk	0.22632015011445578
hachelijk.foc10.all.selection.bound.min1.soc4.all.5000	0.4219477879153233	-0.02748121554455243	bound	all	10_10	selection	658	1	5000	5000	all	4_4	239	hachelijk	0.22535885740193862
hachelijk.foc10.all.selection.bound.min1.soc4.all.10000	0.41966789669498067	-0.03740834388353081	bound	all	10_10	selection	658	1	10000	10000	all	4_4	239	hachelijk	0.21893608363060235
hachelijk.foc10.all.selection.bound.min1.soc4.all.FOC	0.3187148594678906	-0.013148067459070566	bound	all	10_10	selection	658	1	FOC	658	all	4_4	239	hachelijk	0.2281935668425647
hachelijk.foc10.all.selection.bound.min1.soc10.all.5000	0.32377820724417394	0.05548942721407568	bound	all	10_10	selection	658	1	5000	5000	all	10_10	239	hachelijk	0.23160128341380126
hachelijk.foc10.all.selection.bound.min1.soc10.all.10000	0.3246486186591154	0.04987147107848385	bound	all	10_10	selection	658	1	10000	10000	all	10_10	239	hachelijk	0.22792198397075708
hachelijk.foc10.all.selection.bound.min1.soc10.all.FOC	0.2611518956605976	0.0625849932677868	bound	all	10_10	selection	658	1	FOC	658	all	10_10	239	hachelijk	0.22632015011445578
hachelijk.foc10.all.no.bound.min1.soc4.nav.5000	0.4178343860184574	-0.038579038335234885	bound	all	10_10	no	658	1	5000	5000	nav	4_4	239	hachelijk	0.2223797980583518
hachelijk.foc10.all.no.bound.min1.soc4.nav.10000	0.4179784883863972	-0.0528131180171265	bound	all	10_10	no	658	1	10000	10000	nav	4_4	239	hachelijk	0.2180571472942356
hachelijk.foc10.all.no.bound.min1.soc4.nav.FOC	0.31871678295200356	-0.013148215351401316	bound	all	10_10	no	658	1	FOC	658	nav	4_4	239	hachelijk	0.2281935668425647
hachelijk.foc10.all.no.bound.min1.soc10.nav.5000	0.3174060186825171	0.050402663795070135	bound	all	10_10	no	658	1	5000	5000	nav	10_10	239	hachelijk	0.23087855117477976
hachelijk.foc10.all.no.bound.min1.soc10.nav.10000	0.32019064000770575	0.041131497342905	bound	all	10_10	no	658	1	10000	10000	nav	10_10	239	hachelijk	0.22740585899052954
hachelijk.foc10.all.no.bound.min1.soc10.nav.FOC	0.2611518878688306	0.06258499385552652	bound	all	10_10	no	658	1	FOC	658	nav	10_10	239	hachelijk	0.22632015011445578
hachelijk.foc10.all.no.bound.min1.soc4.all.5000	0.4219447436311747	-0.0274808906372737	bound	all	10_10	no	658	1	5000	5000	all	4_4	239	hachelijk	0.22535885740193862
hachelijk.foc10.all.no.bound.min1.soc4.all.10000	0.41970782358021713	-0.03742075033843841	bound	all	10_10	no	658	1	10000	10000	all	4_4	239	hachelijk	0.21893608363060235
hachelijk.foc10.all.no.bound.min1.soc4.all.FOC	0.31871680190584073	-0.013148216797558399	bound	all	10_10	no	658	1	FOC	658	all	4_4	239	hachelijk	0.2281935668425647
hachelijk.foc10.all.no.bound.min1.soc10.all.5000	0.323778010128201	0.055489405497769075	bound	all	10_10	no	658	1	5000	5000	all	10_10	239	hachelijk	0.23160128341380126
hachelijk.foc10.all.no.bound.min1.soc10.all.10000	0.3246486237442795	0.04987147143591992	bound	all	10_10	no	658	1	10000	10000	all	10_10	239	hachelijk	0.22792198397075708
hachelijk.foc10.all.no.bound.min1.soc10.all.FOC	0.26115188674672146	0.06258499377547515	bound	all	10_10	no	658	1	FOC	658	all	10_10	239	hachelijk	0.22632015011445578
hachelijk.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.2881397740549941	-0.06387928054010622	bound	nav	5_5	weight	324	1	5000	5000	nav	4_4	238	hachelijk	0.2446634358821087
hachelijk.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.2908943376948784	-0.06958008190363837	bound	nav	5_5	weight	324	1	10000	10000	nav	4_4	238	hachelijk	0.23388480876039663
hachelijk.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.2626887400814893	-0.08876445790691424	bound	nav	5_5	weight	324	1	FOC	324	nav	4_4	238	hachelijk	0.24031672965971293
hachelijk.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.2836920089618242	-0.05528147048170266	bound	nav	5_5	weight	324	1	5000	5000	nav	10_10	238	hachelijk	0.2227385176975192
hachelijk.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.28516559881277237	-0.05873695503859571	bound	nav	5_5	weight	324	1	10000	10000	nav	10_10	238	hachelijk	0.2202229493862513
