_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_FOC-POS	foc_BOUNDARIES	foc_PPMI	foc_FOC-WIN	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
blik.foc5.nav.ppmi_sel.bound.min1.soc10.all.foc	-0.27910803198122447	-0.1808164626125545	395	1	nav	bound	ppmi_sel	5_5	foc	395	all	10_10	261	blik	0.2758857281692544
blik.foc5.nav.no_ppmi.bound.min1.soc4.nav.5000	-0.18193837202487853	0.16692373311524356	547	1	nav	bound	no_ppmi	5_5	5000	5000	nav	4_4	277	blik	0.26905624144593315
blik.foc5.nav.no_ppmi.bound.min1.soc4.nav.10000	-0.15962143729991946	0.03573652150642716	547	1	nav	bound	no_ppmi	5_5	10000	10000	nav	4_4	277	blik	0.2610831800647341
blik.foc5.nav.no_ppmi.bound.min1.soc4.nav.foc	-0.1782321558980856	-0.1583320770054526	547	1	nav	bound	no_ppmi	5_5	foc	547	nav	4_4	277	blik	0.28521356173206197
blik.foc5.nav.no_ppmi.bound.min1.soc10.nav.5000	-0.2683612595573201	0.23568365676223624	547	1	nav	bound	no_ppmi	5_5	5000	5000	nav	10_10	277	blik	0.2626837159182499
blik.foc5.nav.no_ppmi.bound.min1.soc10.nav.10000	-0.19893203700733716	0.1728342758889014	547	1	nav	bound	no_ppmi	5_5	10000	10000	nav	10_10	277	blik	0.25838349261905225
blik.foc5.nav.no_ppmi.bound.min1.soc10.nav.foc	-0.18525289752347837	-0.005688666267215894	547	1	nav	bound	no_ppmi	5_5	foc	547	nav	10_10	277	blik	0.27210874176247274
blik.foc5.nav.no_ppmi.bound.min1.soc4.all.5000	-0.1564691471719689	0.17378588526035663	547	1	nav	bound	no_ppmi	5_5	5000	5000	all	4_4	277	blik	0.2722473485569495
blik.foc5.nav.no_ppmi.bound.min1.soc4.all.10000	-0.16817623465777665	0.1727193323854882	547	1	nav	bound	no_ppmi	5_5	10000	10000	all	4_4	277	blik	0.2659706101346568
blik.foc5.nav.no_ppmi.bound.min1.soc4.all.foc	-0.17823214873314835	-0.15833208432657514	547	1	nav	bound	no_ppmi	5_5	foc	547	all	4_4	277	blik	0.28521356173206197
blik.foc5.nav.no_ppmi.bound.min1.soc10.all.5000	-0.15209054730627516	0.16705956204800865	547	1	nav	bound	no_ppmi	5_5	5000	5000	all	10_10	277	blik	0.26407520058258743
blik.foc5.nav.no_ppmi.bound.min1.soc10.all.10000	-0.19072151033936782	0.18093998558985014	547	1	nav	bound	no_ppmi	5_5	10000	10000	all	10_10	277	blik	0.26407151787482974
blik.foc5.nav.no_ppmi.bound.min1.soc10.all.foc	-0.18525289938958545	-0.0056886763899280796	547	1	nav	bound	no_ppmi	5_5	foc	547	all	10_10	277	blik	0.27210874176247274
blik.foc5.all.ppmi_weight.bound.min1.soc4.nav.5000	0.028946861856406325	-0.13041001299240726	490	1	all	bound	ppmi_weight	5_5	5000	5000	nav	4_4	278	blik	0.26481896056416576
blik.foc5.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.03108714615703297	-0.3018291911229092	490	1	all	bound	ppmi_weight	5_5	10000	10000	nav	4_4	278	blik	0.26225385618758684
blik.foc5.all.ppmi_weight.bound.min1.soc4.nav.foc	0.09853271617844944	-0.4301145284827646	490	1	all	bound	ppmi_weight	5_5	foc	490	nav	4_4	278	blik	0.27736143448297895
blik.foc5.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.01614385718010823	-0.07746494757019329	490	1	all	bound	ppmi_weight	5_5	5000	5000	nav	10_10	278	blik	0.2601148683560355
blik.foc5.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.010896662402652553	-0.15425038482888745	490	1	all	bound	ppmi_weight	5_5	10000	10000	nav	10_10	278	blik	0.26005768418546166
blik.foc5.all.ppmi_weight.bound.min1.soc10.nav.foc	0.05698781166950915	-0.2848818364823383	490	1	all	bound	ppmi_weight	5_5	foc	490	nav	10_10	278	blik	0.2723891842468607
blik.foc5.all.ppmi_weight.bound.min1.soc4.all.5000	0.013848639611255395	-0.1540443829160901	490	1	all	bound	ppmi_weight	5_5	5000	5000	all	4_4	278	blik	0.2658309773784069
blik.foc5.all.ppmi_weight.bound.min1.soc4.all.10000	0.03959993998721701	-0.16284911346008743	490	1	all	bound	ppmi_weight	5_5	10000	10000	all	4_4	278	blik	0.26176629640950694
blik.foc5.all.ppmi_weight.bound.min1.soc4.all.foc	0.07555776413239418	-0.3865497805305452	490	1	all	bound	ppmi_weight	5_5	foc	490	all	4_4	278	blik	0.27691996861496765
blik.foc5.all.ppmi_weight.bound.min1.soc10.all.5000	-0.02569162804326323	-0.10430988942223239	490	1	all	bound	ppmi_weight	5_5	5000	5000	all	10_10	278	blik	0.25916129477377053
blik.foc5.all.ppmi_weight.bound.min1.soc10.all.10000	-0.04524004127924549	-0.12440215378765507	490	1	all	bound	ppmi_weight	5_5	10000	10000	all	10_10	278	blik	0.260964813603531
blik.foc5.all.ppmi_weight.bound.min1.soc10.all.foc	0.03349074769241423	-0.22355102713390393	490	1	all	bound	ppmi_weight	5_5	foc	490	all	10_10	278	blik	0.271691398055129
blik.foc5.all.ppmi_sel.bound.min1.soc4.nav.5000	0.4290719648403318	-0.17575135242999868	490	1	all	bound	ppmi_sel	5_5	5000	5000	nav	4_4	278	blik	0.2484018198085353
blik.foc5.all.ppmi_sel.bound.min1.soc4.nav.10000	0.4617439990832746	-0.18094235619885612	490	1	all	bound	ppmi_sel	5_5	10000	10000	nav	4_4	278	blik	0.2419749439628712
blik.foc5.all.ppmi_sel.bound.min1.soc4.nav.foc	0.36980816842830533	-0.27809239237102223	490	1	all	bound	ppmi_sel	5_5	foc	490	nav	4_4	278	blik	0.24588916004370948
blik.foc5.all.ppmi_sel.bound.min1.soc10.nav.5000	0.26464220108715736	-0.04249575402074844	490	1	all	bound	ppmi_sel	5_5	5000	5000	nav	10_10	278	blik	0.2541638078023437
blik.foc5.all.ppmi_sel.bound.min1.soc10.nav.10000	0.31449752958430544	-0.06084654075416035	490	1	all	bound	ppmi_sel	5_5	10000	10000	nav	10_10	278	blik	0.251014828924107
