_model	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
heet.foc5.nav.weight.bound.min1.soc4.nav.5000	bound	415	nav	5_5	1	weight	5000	5000	nav	4_4	348	heet	0.22307646677595316
heet.foc5.nav.weight.bound.min1.soc4.nav.10000	bound	415	nav	5_5	1	weight	10000	10000	nav	4_4	348	heet	0.2199477358138923
heet.foc5.nav.weight.bound.min1.soc4.nav.FOC	bound	415	nav	5_5	1	weight	FOC	415	nav	4_4	348	heet	0.23484117190738493
heet.foc5.nav.weight.bound.min1.soc10.nav.5000	bound	415	nav	5_5	1	weight	5000	5000	nav	10_10	348	heet	0.22429258398600582
heet.foc5.nav.weight.bound.min1.soc10.nav.10000	bound	415	nav	5_5	1	weight	10000	10000	nav	10_10	348	heet	0.21623914643771253
heet.foc5.nav.weight.bound.min1.soc10.nav.FOC	bound	415	nav	5_5	1	weight	FOC	415	nav	10_10	348	heet	0.22660303329128575
heet.foc5.nav.weight.bound.min1.soc4.all.5000	bound	415	nav	5_5	1	weight	5000	5000	all	4_4	348	heet	0.23806094711498715
heet.foc5.nav.weight.bound.min1.soc4.all.10000	bound	415	nav	5_5	1	weight	10000	10000	all	4_4	348	heet	0.22602942403270848
heet.foc5.nav.weight.bound.min1.soc4.all.FOC	bound	415	nav	5_5	1	weight	FOC	415	all	4_4	348	heet	0.23484117190738493
heet.foc5.nav.weight.bound.min1.soc10.all.5000	bound	415	nav	5_5	1	weight	5000	5000	all	10_10	348	heet	0.22721021193587523
heet.foc5.nav.weight.bound.min1.soc10.all.10000	bound	415	nav	5_5	1	weight	10000	10000	all	10_10	348	heet	0.21795996140941695
heet.foc5.nav.weight.bound.min1.soc10.all.FOC	bound	415	nav	5_5	1	weight	FOC	415	all	10_10	348	heet	0.22660303329128575
heet.foc5.nav.selection.bound.min1.soc4.nav.5000	bound	415	nav	5_5	1	selection	5000	5000	nav	4_4	348	heet	0.23919470039174737
heet.foc5.nav.selection.bound.min1.soc4.nav.10000	bound	415	nav	5_5	1	selection	10000	10000	nav	4_4	348	heet	0.23855639095584327
heet.foc5.nav.selection.bound.min1.soc4.nav.FOC	bound	415	nav	5_5	1	selection	FOC	415	nav	4_4	348	heet	0.2367164830852459
heet.foc5.nav.selection.bound.min1.soc10.nav.5000	bound	415	nav	5_5	1	selection	5000	5000	nav	10_10	348	heet	0.2317488864384299
heet.foc5.nav.selection.bound.min1.soc10.nav.10000	bound	415	nav	5_5	1	selection	10000	10000	nav	10_10	348	heet	0.23160930920599293
heet.foc5.nav.selection.bound.min1.soc10.nav.FOC	bound	415	nav	5_5	1	selection	FOC	415	nav	10_10	348	heet	0.22977920483191439
heet.foc5.nav.selection.bound.min1.soc4.all.5000	bound	415	nav	5_5	1	selection	5000	5000	all	4_4	348	heet	0.2382326575842821
heet.foc5.nav.selection.bound.min1.soc4.all.10000	bound	415	nav	5_5	1	selection	10000	10000	all	4_4	348	heet	0.2322209277610687
heet.foc5.nav.selection.bound.min1.soc4.all.FOC	bound	415	nav	5_5	1	selection	FOC	415	all	4_4	348	heet	0.2367164830852459
heet.foc5.nav.selection.bound.min1.soc10.all.5000	bound	415	nav	5_5	1	selection	5000	5000	all	10_10	348	heet	0.2332586860140562
heet.foc5.nav.selection.bound.min1.soc10.all.10000	bound	415	nav	5_5	1	selection	10000	10000	all	10_10	348	heet	0.22717592383555227
heet.foc5.nav.selection.bound.min1.soc10.all.FOC	bound	415	nav	5_5	1	selection	FOC	415	all	10_10	348	heet	0.22977920483191439
heet.foc5.nav.no.bound.min1.soc4.nav.5000	bound	623	nav	5_5	1	no	5000	5000	nav	4_4	358	heet	0.24326747515300262
heet.foc5.nav.no.bound.min1.soc4.nav.10000	bound	623	nav	5_5	1	no	10000	10000	nav	4_4	358	heet	0.24393878966809043
heet.foc5.nav.no.bound.min1.soc4.nav.FOC	bound	623	nav	5_5	1	no	FOC	623	nav	4_4	358	heet	0.2477253810717742
heet.foc5.nav.no.bound.min1.soc10.nav.5000	bound	623	nav	5_5	1	no	5000	5000	nav	10_10	358	heet	0.23900727332845317
heet.foc5.nav.no.bound.min1.soc10.nav.10000	bound	623	nav	5_5	1	no	10000	10000	nav	10_10	358	heet	0.2410960598832165
heet.foc5.nav.no.bound.min1.soc10.nav.FOC	bound	623	nav	5_5	1	no	FOC	623	nav	10_10	358	heet	0.24317207269588925
heet.foc5.nav.no.bound.min1.soc4.all.5000	bound	623	nav	5_5	1	no	5000	5000	all	4_4	358	heet	0.23837429386604872
heet.foc5.nav.no.bound.min1.soc4.all.10000	bound	623	nav	5_5	1	no	10000	10000	all	4_4	358	heet	0.23925308557896374
heet.foc5.nav.no.bound.min1.soc4.all.FOC	bound	623	nav	5_5	1	no	FOC	623	all	4_4	358	heet	0.2477253810717742
heet.foc5.nav.no.bound.min1.soc10.all.5000	bound	623	nav	5_5	1	no	5000	5000	all	10_10	358	heet	0.23822023657974964
heet.foc5.nav.no.bound.min1.soc10.all.10000	bound	623	nav	5_5	1	no	10000	10000	all	10_10	358	heet	0.23639703609479987
heet.foc5.nav.no.bound.min1.soc10.all.FOC	bound	623	nav	5_5	1	no	FOC	623	all	10_10	358	heet	0.24317207269588925
heet.foc5.all.weight.bound.min1.soc4.nav.5000	bound	482	all	5_5	1	weight	5000	5000	nav	4_4	359	heet	0.2247519245314201
heet.foc5.all.weight.bound.min1.soc4.nav.10000	bound	482	all	5_5	1	weight	10000	10000	nav	4_4	359	heet	0.2191230493913449
heet.foc5.all.weight.bound.min1.soc4.nav.FOC	bound	482	all	5_5	1	weight	FOC	482	nav	4_4	359	heet	0.2343494779961903
heet.foc5.all.weight.bound.min1.soc10.nav.5000	bound	482	all	5_5	1	weight	5000	5000	nav	10_10	359	heet	0.21777227662986717
heet.foc5.all.weight.bound.min1.soc10.nav.10000	bound	482	all	5_5	1	weight	10000	10000	nav	10_10	359	heet	0.21212180239394335
heet.foc5.all.weight.bound.min1.soc10.nav.FOC	bound	482	all	5_5	1	weight	FOC	482	nav	10_10	359	heet	0.22635272498455858
heet.foc5.all.weight.bound.min1.soc4.all.5000	bound	482	all	5_5	1	weight	5000	5000	all	4_4	359	heet	0.22407523679519945
heet.foc5.all.weight.bound.min1.soc4.all.10000	bound	482	all	5_5	1	weight	10000	10000	all	4_4	359	heet	0.22198771948102108
heet.foc5.all.weight.bound.min1.soc4.all.FOC	bound	482	all	5_5	1	weight	FOC	482	all	4_4	359	heet	0.2343494779961903
heet.foc5.all.weight.bound.min1.soc10.all.5000	bound	482	all	5_5	1	weight	5000	5000	all	10_10	359	heet	0.22090763542170333
heet.foc5.all.weight.bound.min1.soc10.all.10000	bound	482	all	5_5	1	weight	10000	10000	all	10_10	359	heet	0.2102890103015225
heet.foc5.all.weight.bound.min1.soc10.all.FOC	bound	482	all	5_5	1	weight	FOC	482	all	10_10	359	heet	0.22635272498455858
heet.foc5.all.selection.bound.min1.soc4.nav.5000	bound	482	all	5_5	1	selection	5000	5000	nav	4_4	359	heet	0.24298352365314968
heet.foc5.all.selection.bound.min1.soc4.nav.10000	bound	482	all	5_5	1	selection	10000	10000	nav	4_4	359	heet	0.2456514699250286
heet.foc5.all.selection.bound.min1.soc4.nav.FOC	bound	482	all	5_5	1	selection	FOC	482	nav	4_4	359	heet	0.24096923930061037
heet.foc5.all.selection.bound.min1.soc10.nav.5000	bound	482	all	5_5	1	selection	5000	5000	nav	10_10	359	heet	0.23072957576728795
heet.foc5.all.selection.bound.min1.soc10.nav.10000	bound	482	all	5_5	1	selection	10000	10000	nav	10_10	359	heet	0.2334631754579033
heet.foc5.all.selection.bound.min1.soc10.nav.FOC	bound	482	all	5_5	1	selection	FOC	482	nav	10_10	359	heet	0.23474113956712667
heet.foc5.all.selection.bound.min1.soc4.all.5000	bound	482	all	5_5	1	selection	5000	5000	all	4_4	359	heet	0.24541110239313535
heet.foc5.all.selection.bound.min1.soc4.all.10000	bound	482	all	5_5	1	selection	10000	10000	all	4_4	359	heet	0.24512131980348664
heet.foc5.all.selection.bound.min1.soc4.all.FOC	bound	482	all	5_5	1	selection	FOC	482	all	4_4	359	heet	0.24096923930061037
heet.foc5.all.selection.bound.min1.soc10.all.5000	bound	482	all	5_5	1	selection	5000	5000	all	10_10	359	heet	0.23187541343585177
heet.foc5.all.selection.bound.min1.soc10.all.10000	bound	482	all	5_5	1	selection	10000	10000	all	10_10	359	heet	0.23153333721976638
heet.foc5.all.selection.bound.min1.soc10.all.FOC	bound	482	all	5_5	1	selection	FOC	482	all	10_10	359	heet	0.23474113956712667
heet.foc5.all.no.bound.min1.soc4.nav.5000	bound	758	all	5_5	1	no	5000	5000	nav	4_4	359	heet	0.24165593375553654
heet.foc5.all.no.bound.min1.soc4.nav.10000	bound	758	all	5_5	1	no	10000	10000	nav	4_4	359	heet	0.24305662915203358
heet.foc5.all.no.bound.min1.soc4.nav.FOC	bound	758	all	5_5	1	no	FOC	758	nav	4_4	359	heet	0.23396841792646456
heet.foc5.all.no.bound.min1.soc10.nav.5000	bound	758	all	5_5	1	no	5000	5000	nav	10_10	359	heet	0.2293250174736185
heet.foc5.all.no.bound.min1.soc10.nav.10000	bound	758	all	5_5	1	no	10000	10000	nav	10_10	359	heet	0.23133713910795417
heet.foc5.all.no.bound.min1.soc10.nav.FOC	bound	758	all	5_5	1	no	FOC	758	nav	10_10	359	heet	0.22283993084705112
heet.foc5.all.no.bound.min1.soc4.all.5000	bound	758	all	5_5	1	no	5000	5000	all	4_4	359	heet	0.24341634490554576
heet.foc5.all.no.bound.min1.soc4.all.10000	bound	758	all	5_5	1	no	10000	10000	all	4_4	359	heet	0.2426103175410081
heet.foc5.all.no.bound.min1.soc4.all.FOC	bound	758	all	5_5	1	no	FOC	758	all	4_4	359	heet	0.23396841792646456
heet.foc5.all.no.bound.min1.soc10.all.5000	bound	758	all	5_5	1	no	5000	5000	all	10_10	359	heet	0.22956452239457384
heet.foc5.all.no.bound.min1.soc10.all.10000	bound	758	all	5_5	1	no	10000	10000	all	10_10	359	heet	0.2294813125062915
heet.foc5.all.no.bound.min1.soc10.all.FOC	bound	758	all	5_5	1	no	FOC	758	all	10_10	359	heet	0.22283993084705112
